combination,times_selected
hits_authority+in_degree_centrality,2
disruption+in_degree_centrality,6
eigenvector_centrality+closeness_centrality,2
in_degree_centrality+closeness_centrality,8
degree_centrality+in_degree_centrality,3
hits_authority+out_degree_centrality,2
out_degree_centrality+disruption,1
disruption+pagerank,3
eigenvector_centrality+harmonic_centrality,2
disruption+closeness_centrality,1
out_degree_centrality+hits_hub,2
degree_centrality+core_number,1
core_number+degree_centrality,1
hits_hub+hits_authority,1
out_degree_centrality+in_degree_centrality,1
hits_hub+in_degree_centrality,1
pagerank+eigenvector_centrality,1
