combination,times_selected
hits_authority+in_degree_centrality,1
disruption+in_degree_centrality,7
disruption+eigenvector_centrality,2
in_degree_centrality+closeness_centrality,6
degree_centrality+in_degree_centrality,3
hits_authority+out_degree_centrality,1
out_degree_centrality+disruption,2
disruption+pagerank,4
hits_hub+disruption,1
disruption+closeness_centrality,1
out_degree_centrality+hits_hub,3
hits_authority+core_number,1
core_number+degree_centrality,3
degree_centrality+core_number,1
hits_hub+hits_authority,1
eigenvector_centrality+pagerank,1
