Correlation,Centrality,Ground Truth
0.23624635125792423,degree_centrality,importance
0.21500810264303943,degree_centrality,doctypebranch
0.26073806724920445,in_degree_centrality,importance
0.29633330719998313,in_degree_centrality,doctypebranch
0.03693579228107865,out_degree_centrality,importance
-0.04044826647087753,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.26073806724920445,closeness_centrality,importance
0.29633330719998313,closeness_centrality,doctypebranch
0.2387320636814934,core_number,importance
0.21501217056570615,core_number,doctypebranch
0.26073806724920445,relative_in_degree_centrality,importance
0.29633330719998313,relative_in_degree_centrality,doctypebranch
0.2607375618320269,eigenvector_centrality,importance
0.29613070992967366,eigenvector_centrality,doctypebranch
0.2604866810738446,pagerank,importance
0.2896948895032236,pagerank,doctypebranch
-0.03587972392842266,hits_hub,importance
-0.048551723591804694,hits_hub,doctypebranch
0.054460248619144086,hits_authority,importance
0.09406960400820365,hits_authority,doctypebranch
0.26073806724920445,harmonic_centrality,importance
0.29633330719998313,harmonic_centrality,doctypebranch
0.263054441981942,disruption,importance
0.2960225817506624,disruption,doctypebranch
0.26379745831192225,composite,importance
0.2992427376570905,composite,doctypebranch
