combination,times_selected
in_degree_centrality+relative_in_degree_centrality,9
pagerank+in_degree_centrality,4
degree_centrality+in_degree_centrality,4
hits_authority+in_degree_centrality,1
disruption+in_degree_centrality,8
out_degree_centrality+hits_hub,3
pagerank+closeness_centrality,3
disruption+eigenvector_centrality,3
in_degree_centrality+closeness_centrality,1
eigenvector_centrality+harmonic_centrality,1
disruption+harmonic_centrality,1
disruption+pagerank,8
disruption+closeness_centrality,3
closeness_centrality+in_degree_centrality,1
eigenvector_centrality+closeness_centrality,2
out_degree_centrality+pagerank,1
pagerank+eigenvector_centrality,1
disruption+out_degree_centrality,2
degree_centrality+core_number,2
disruption+hits_authority,1
harmonic_centrality+closeness_centrality,1
core_number+degree_centrality,1
pagerank+disruption,1
