Correlation,Centrality,Ground Truth
0.35964907726635664,degree_centrality,importance
0.36903561950830543,degree_centrality,doctypebranch
0.3321196039389461,in_degree_centrality,importance
0.3578353790103497,in_degree_centrality,doctypebranch
0.12719699302802315,out_degree_centrality,importance
0.10344100625265737,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.3321196039389461,closeness_centrality,importance
0.3578353790103497,closeness_centrality,doctypebranch
0.3616268510567479,core_number,importance
0.3735001149663231,core_number,doctypebranch
0.3321196039389461,relative_in_degree_centrality,importance
0.3578353790103497,relative_in_degree_centrality,doctypebranch
0.3321196039389461,eigenvector_centrality,importance
0.3578353790103497,eigenvector_centrality,doctypebranch
0.3238959090272462,pagerank,importance
0.351314862578121,pagerank,doctypebranch
0.12777582629115342,hits_hub,importance
0.10412672478009369,hits_hub,doctypebranch
0.1487931265204242,hits_authority,importance
0.13661641606971955,hits_authority,doctypebranch
0.3321196039389461,harmonic_centrality,importance
0.3578353790103497,harmonic_centrality,doctypebranch
0.3307739878704903,disruption,importance
0.356854518166139,disruption,doctypebranch
0.35964907726635664,composite,importance
0.36903561950830543,composite,doctypebranch
