Correlation,Centrality,Ground Truth
-0.04744988528114416,degree_centrality,importance
-0.060993754559283325,degree_centrality,doctypebranch
-0.10930967352499629,in_degree_centrality,importance
-0.0711445600794282,in_degree_centrality,doctypebranch
0.04289366935790993,out_degree_centrality,importance
-0.01422891201588564,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
-0.10930967352499629,closeness_centrality,importance
-0.0711445600794282,closeness_centrality,doctypebranch
-0.04744988528114416,core_number,importance
-0.060993754559283325,core_number,doctypebranch
-0.10930967352499629,relative_in_degree_centrality,importance
-0.0711445600794282,relative_in_degree_centrality,doctypebranch
-0.10930967352499629,eigenvector_centrality,importance
-0.0711445600794282,eigenvector_centrality,doctypebranch
-0.10930967352499629,pagerank,importance
-0.0711445600794282,pagerank,doctypebranch
-0.08629489272626914,hits_hub,importance
-0.1267731382092775,hits_hub,doctypebranch
0.16226641689729795,hits_authority,importance
0.2187939467944487,hits_authority,doctypebranch
-0.10930967352499629,harmonic_centrality,importance
-0.0711445600794282,harmonic_centrality,doctypebranch
-0.10930967352499629,disruption,importance
-0.0711445600794282,disruption,doctypebranch
0.16226641689729795,composite,importance
0.2175853368527734,composite,doctypebranch
