combination,times_selected
in_degree_centrality+closeness_centrality,8
disruption+in_degree_centrality,7
eigenvector_centrality+closeness_centrality,2
degree_centrality+in_degree_centrality,3
hits_hub+out_degree_centrality,1
out_degree_centrality+disruption,2
disruption+pagerank,3
eigenvector_centrality+harmonic_centrality,2
disruption+closeness_centrality,1
out_degree_centrality+hits_hub,2
hits_authority+degree_centrality,1
core_number+degree_centrality,1
hits_authority+hits_hub,1
hits_authority+in_degree_centrality,1
out_degree_centrality+in_degree_centrality,1
hits_hub+in_degree_centrality,1
pagerank+eigenvector_centrality,1
