combination,times_selected
in_degree_centrality+closeness_centrality,5
disruption+in_degree_centrality,8
disruption+eigenvector_centrality,3
degree_centrality+in_degree_centrality,3
hits_hub+out_degree_centrality,1
out_degree_centrality+disruption,3
disruption+pagerank,4
disruption+closeness_centrality,1
hits_hub+in_degree_centrality,1
core_number+degree_centrality,3
hits_authority+core_number,1
out_degree_centrality+hits_hub,2
degree_centrality+core_number,1
hits_authority+in_degree_centrality,1
eigenvector_centrality+pagerank,1
