Correlation,Centrality,Ground Truth
0.42734272492028447,degree_centrality,importance
0.3636906037214593,degree_centrality,doctypebranch
0.4323243162857209,in_degree_centrality,importance
0.3080829369139264,in_degree_centrality,doctypebranch
0.19998426905189912,out_degree_centrality,importance
0.20978177785324717,out_degree_centrality,doctypebranch
0.22976105096379776,betweenness_centrality,importance
0.13122082044965638,betweenness_centrality,doctypebranch
0.4265957989702068,closeness_centrality,importance
0.3055032452758664,closeness_centrality,doctypebranch
0.4248596960614515,core_number,importance
0.3632877457650323,core_number,doctypebranch
0.4323243162857209,relative_in_degree_centrality,importance
0.3080829369139264,relative_in_degree_centrality,doctypebranch
0.4236240936403838,eigenvector_centrality,importance
0.30358552123915367,eigenvector_centrality,doctypebranch
0.43155541918165574,pagerank,importance
0.3092189059824146,pagerank,doctypebranch
0.15873029945723816,hits_hub,importance
0.20256804793504843,hits_hub,doctypebranch
0.29107901280632176,hits_authority,importance
0.20416935436866593,hits_authority,doctypebranch
0.42665228205312183,harmonic_centrality,importance
0.3055465530169565,harmonic_centrality,doctypebranch
0.23030261226144141,disruption,importance
0.19335573421277952,disruption,doctypebranch
0.4323243162857209,composite,importance
0.3080829369139264,composite,doctypebranch
