Correlation,Centrality,Ground Truth
0.6667918624960927,degree_centrality,importance
0.6477616643780042,degree_centrality,doctypebranch
0.6397800065998014,in_degree_centrality,importance
0.648707477374463,in_degree_centrality,doctypebranch
0.453540029714071,out_degree_centrality,importance
0.421403399998087,out_degree_centrality,doctypebranch
0.5461225325602874,betweenness_centrality,importance
0.5629214492538863,betweenness_centrality,doctypebranch
0.6229270751031885,closeness_centrality,importance
0.615679932241732,closeness_centrality,doctypebranch
0.6570777845708997,core_number,importance
0.6314725451806322,core_number,doctypebranch
0.6397800065998014,relative_in_degree_centrality,importance
0.648707477374463,relative_in_degree_centrality,doctypebranch
0.6138996473774506,eigenvector_centrality,importance
0.6185745311445868,eigenvector_centrality,doctypebranch
0.620365176938207,pagerank,importance
0.6269763730654762,pagerank,doctypebranch
0.4797851387264923,hits_hub,importance
0.42772525533784506,hits_hub,doctypebranch
0.5913826037089469,hits_authority,importance
0.602701722766959,hits_authority,doctypebranch
0.623519878502341,harmonic_centrality,importance
0.6174510281363964,harmonic_centrality,doctypebranch
-0.1545554069652906,disruption,importance
-0.1742240602590428,disruption,doctypebranch
0.6397800065998014,composite,importance
0.648707477374463,composite,doctypebranch
