Correlation,Centrality,Ground Truth
0.42025917500564564,degree_centrality,importance
0.3471533277459976,degree_centrality,doctypebranch
0.4581063132607478,in_degree_centrality,importance
0.34960507585606576,in_degree_centrality,doctypebranch
0.12918651471226886,out_degree_centrality,importance
0.1451130779252042,out_degree_centrality,doctypebranch
0.35813263338267776,betweenness_centrality,importance
0.3106346507204865,betweenness_centrality,doctypebranch
0.4430237380071293,closeness_centrality,importance
0.290440944704865,closeness_centrality,doctypebranch
0.3833834784134802,core_number,importance
0.3176576012252621,core_number,doctypebranch
0.4581063132607478,relative_in_degree_centrality,importance
0.34960507585606576,relative_in_degree_centrality,doctypebranch
0.4427456103959591,eigenvector_centrality,importance
0.2764949235559831,eigenvector_centrality,doctypebranch
0.4779777240384386,pagerank,importance
0.3316185780576285,pagerank,doctypebranch
0.16720016244057212,hits_hub,importance
0.11390401646333725,hits_hub,doctypebranch
0.41686720892600904,hits_authority,importance
0.3222767920853027,hits_authority,doctypebranch
0.4453661245044807,harmonic_centrality,importance
0.2914195104928769,harmonic_centrality,doctypebranch
-0.28661616738839263,disruption,importance
-0.19965500917143134,disruption,doctypebranch
0.48366303610671074,composite,importance
0.3517990765372523,composite,doctypebranch
