Correlation,Centrality,Ground Truth
0.23737179448772483,degree_centrality,importance
0.11232053063793863,degree_centrality,doctypebranch
0.25263531376528797,in_degree_centrality,importance
0.1046003475267479,in_degree_centrality,doctypebranch
0.10231263166428231,out_degree_centrality,importance
0.025030421360724937,out_degree_centrality,doctypebranch
0.1406076410285842,betweenness_centrality,importance
0.048414828020999855,betweenness_centrality,doctypebranch
0.2509779889125578,closeness_centrality,importance
0.10311632658373888,closeness_centrality,doctypebranch
0.21739107761231824,core_number,importance
0.07649563816184464,core_number,doctypebranch
0.25263531376528797,relative_in_degree_centrality,importance
0.1046003475267479,relative_in_degree_centrality,doctypebranch
0.25262373456133574,eigenvector_centrality,importance
0.09921227588443028,eigenvector_centrality,doctypebranch
,pagerank,importance
,pagerank,doctypebranch
-0.11006058663665381,hits_hub,importance
-0.053399223027525575,hits_hub,doctypebranch
0.025768338019611228,hits_authority,importance
0.09570478851911622,hits_authority,doctypebranch
0.2508990913410275,harmonic_centrality,importance
0.10311644336849492,harmonic_centrality,doctypebranch
0.2338614094769465,disruption,importance
0.08996392862827211,disruption,doctypebranch
0.3811704245101165,composite,importance
0.13247131116703503,composite,doctypebranch
