Correlation,Centrality,Ground Truth
0.5015312568767953,degree_centrality,importance
0.45145204744009976,degree_centrality,doctypebranch
0.5212146289637343,in_degree_centrality,importance
0.4640615929311664,in_degree_centrality,doctypebranch
0.26179657816434754,out_degree_centrality,importance
0.29112790718109366,out_degree_centrality,doctypebranch
0.44300874269542734,betweenness_centrality,importance
0.42600994299706707,betweenness_centrality,doctypebranch
0.5157110869018928,closeness_centrality,importance
0.44319557110318436,closeness_centrality,doctypebranch
0.4593538648717191,core_number,importance
0.42517496432957474,core_number,doctypebranch
0.5212146289637343,relative_in_degree_centrality,importance
0.4640615929311664,relative_in_degree_centrality,doctypebranch
0.5150763594811386,eigenvector_centrality,importance
0.44385887037577976,eigenvector_centrality,doctypebranch
,pagerank,importance
,pagerank,doctypebranch
0.24597622631900484,hits_hub,importance
0.2636849403198522,hits_hub,doctypebranch
0.4898119392313977,hits_authority,importance
0.4521185041521218,hits_authority,doctypebranch
0.5162450149734849,harmonic_centrality,importance
0.4442245929237006,harmonic_centrality,doctypebranch
-0.3261875538366838,disruption,importance
-0.2662931283559681,disruption,doctypebranch
0.5212146289637343,composite,importance
0.4640615929311664,composite,doctypebranch
