Centrality,article_10,article_11,article_13,article_14,article_2,article_29,article_3,article_34,article_35,article_37,article_41,article_46,article_5,article_6,article_8,article_P1
betweenness_centrality,Doctypebranch: -0.3126 | Importance: -0.2639,Doctypebranch: -0.2924 | Importance: -0.2597,Doctypebranch: -0.3834 | Importance: -0.4136,Doctypebranch: -0.2355 | Importance: -0.2181,Doctypebranch: -0.3106 | Importance: -0.3581,Doctypebranch: -0.0484 | Importance: -0.1406,Doctypebranch: -0.4260 | Importance: -0.4430,Doctypebranch: -0.3675 | Importance: -0.2768,Doctypebranch: -0.3294 | Importance: -0.2897,Doctypebranch: -0.2837 | Importance: -0.3165,Doctypebranch: -0.2520 | Importance: -0.3300,Doctypebranch: -0.4011 | Importance: -0.3404,Doctypebranch: -0.3873 | Importance: -0.3984,Doctypebranch: -0.3453 | Importance: -0.4376,Doctypebranch: -0.3241 | Importance: -0.2807,Doctypebranch: -0.3498 | Importance: -0.4556
closeness_centrality,Doctypebranch: -0.3783 | Importance: -0.3837,Doctypebranch: -0.3936 | Importance: -0.3761,Doctypebranch: -0.4121 | Importance: -0.4741,Doctypebranch: -0.3070 | Importance: -0.3196,Doctypebranch: -0.2904 | Importance: -0.4430,Doctypebranch: -0.1031 | Importance: -0.2510,Doctypebranch: -0.4432 | Importance: -0.5157,Doctypebranch: -0.3421 | Importance: -0.3260,Doctypebranch: -0.3280 | Importance: -0.3457,Doctypebranch: -0.3070 | Importance: -0.4747,Doctypebranch: -0.2507 | Importance: -0.3971,Doctypebranch: -0.3911 | Importance: -0.3991,Doctypebranch: -0.4363 | Importance: -0.4910,Doctypebranch: -0.3950 | Importance: -0.5248,Doctypebranch: -0.3583 | Importance: -0.3990,Doctypebranch: -0.4003 | Importance: -0.5289
core_number,Doctypebranch: -0.3832 | Importance: -0.2201,Doctypebranch: -0.2325 | Importance: -0.1547,Doctypebranch: -0.3919 | Importance: -0.3603,Doctypebranch: -0.2165 | Importance: -0.1083,Doctypebranch: -0.3177 | Importance: -0.3834,Doctypebranch: -0.0765 | Importance: -0.2174,Doctypebranch: -0.4252 | Importance: -0.4594,Doctypebranch: -0.4183 | Importance: -0.2105,Doctypebranch: -0.4545 | Importance: -0.3391,Doctypebranch: -0.3867 | Importance: -0.6336,Doctypebranch: -0.3290 | Importance: -0.3465,Doctypebranch: -0.3714 | Importance: -0.2996,Doctypebranch: -0.3845 | Importance: -0.3578,Doctypebranch: -0.3256 | Importance: -0.4334,Doctypebranch: -0.3832 | Importance: -0.2805,Doctypebranch: -0.3864 | Importance: -0.4987
degree_centrality,Doctypebranch: -0.4132 | Importance: -0.2489,Doctypebranch: -0.2665 | Importance: -0.2085,Doctypebranch: -0.4259 | Importance: -0.3938,Doctypebranch: -0.2638 | Importance: -0.1511,Doctypebranch: -0.3472 | Importance: -0.4203,Doctypebranch: -0.1123 | Importance: -0.2374,Doctypebranch: -0.4515 | Importance: -0.5015,Doctypebranch: -0.4510 | Importance: -0.2390,Doctypebranch: -0.4736 | Importance: -0.3648,Doctypebranch: -0.4122 | Importance: -0.6344,Doctypebranch: -0.3502 | Importance: -0.3749,Doctypebranch: -0.4229 | Importance: -0.3269,Doctypebranch: -0.3936 | Importance: -0.3834,Doctypebranch: -0.3353 | Importance: -0.4495,Doctypebranch: -0.4063 | Importance: -0.3173,Doctypebranch: -0.4029 | Importance: -0.5085
disruption,Doctypebranch: 0.1994 | Importance: 0.1385,Doctypebranch: 0.0296 | Importance: 0.0302,Doctypebranch: 0.0871 | Importance: 0.1316,Doctypebranch: 0.0320 | Importance: -0.0505,Doctypebranch: 0.1997 | Importance: 0.2866,Doctypebranch: -0.0900 | Importance: -0.2339,Doctypebranch: 0.2663 | Importance: 0.3262,Doctypebranch: 0.1188 | Importance: 0.0271,Doctypebranch: 0.1912 | Importance: 0.0673,Doctypebranch: -0.0876 | Importance: -0.0405,Doctypebranch: 0.1368 | Importance: 0.0964,Doctypebranch: 0.3319 | Importance: 0.2213,Doctypebranch: 0.1835 | Importance: 0.1848,Doctypebranch: 0.0609 | Importance: 0.0176,Doctypebranch: 0.1277 | Importance: 0.0413,Doctypebranch: 0.1673 | Importance: 0.1637
eigenvector_centrality,Doctypebranch: -0.3564 | Importance: -0.3746,Doctypebranch: -0.3947 | Importance: -0.3652,Doctypebranch: -0.4164 | Importance: -0.4797,Doctypebranch: -0.2961 | Importance: -0.3136,Doctypebranch: -0.2765 | Importance: -0.4427,Doctypebranch: -0.0992 | Importance: -0.2526,Doctypebranch: -0.4439 | Importance: -0.5151,Doctypebranch: -0.3399 | Importance: -0.3193,Doctypebranch: -0.3114 | Importance: -0.3373,Doctypebranch: -0.3001 | Importance: -0.4750,Doctypebranch: -0.2524 | Importance: -0.3985,Doctypebranch: -0.3777 | Importance: -0.3986,Doctypebranch: -0.4346 | Importance: -0.4893,Doctypebranch: -0.3978 | Importance: -0.5276,Doctypebranch: -0.3542 | Importance: -0.3903,Doctypebranch: -0.4017 | Importance: -0.5244
harmonic_centrality,Doctypebranch: -0.3796 | Importance: -0.3838,Doctypebranch: -0.3944 | Importance: -0.3784,Doctypebranch: -0.4125 | Importance: -0.4743,Doctypebranch: -0.3086 | Importance: -0.3195,Doctypebranch: -0.2915 | Importance: -0.4454,Doctypebranch: -0.1031 | Importance: -0.2509,Doctypebranch: -0.4442 | Importance: -0.5162,Doctypebranch: -0.3435 | Importance: -0.3264,Doctypebranch: -0.3313 | Importance: -0.3481,Doctypebranch: -0.3072 | Importance: -0.4751,Doctypebranch: -0.2554 | Importance: -0.4006,Doctypebranch: -0.3927 | Importance: -0.3988,Doctypebranch: -0.4371 | Importance: -0.4918,Doctypebranch: -0.3958 | Importance: -0.5255,Doctypebranch: -0.3591 | Importance: -0.3999,Doctypebranch: -0.4007 | Importance: -0.5294
hits_authority,Doctypebranch: -0.3699 | Importance: -0.3644,Doctypebranch: -0.3357 | Importance: -0.2874,Doctypebranch: -0.3676 | Importance: -0.4257,Doctypebranch: -0.2606 | Importance: -0.2491,Doctypebranch: -0.3268 | Importance: -0.4101,Doctypebranch: 0.0169 | Importance: -0.0273,Doctypebranch: -0.4333 | Importance: -0.4798,Doctypebranch: -0.3254 | Importance: -0.2740,Doctypebranch: -0.3684 | Importance: -0.3466,Doctypebranch: -0.1744 | Importance: -0.3654,Doctypebranch: -0.3041 | Importance: -0.4024,Doctypebranch: -0.3997 | Importance: -0.3592,Doctypebranch: -0.3968 | Importance: -0.4453,Doctypebranch: -0.3620 | Importance: -0.4755,Doctypebranch: -0.3966 | Importance: -0.4029,Doctypebranch: -0.3693 | Importance: -0.4647
hits_hub,Doctypebranch: -0.2190 | Importance: -0.0147,Doctypebranch: 0.3123 | Importance: 0.3746,Doctypebranch: -0.2230 | Importance: -0.1567,Doctypebranch: -0.1248 | Importance: 0.0226,Doctypebranch: -0.1139 | Importance: -0.1672,Doctypebranch: 0.0030 | Importance: 0.1162,Doctypebranch: -0.2637 | Importance: -0.2460,Doctypebranch: -0.2533 | Importance: -0.0646,Doctypebranch: -0.2585 | Importance: -0.1445,Doctypebranch: -0.3257 | Importance: -0.4921,Doctypebranch: -0.1506 | Importance: -0.0729,Doctypebranch: -0.0922 | Importance: -0.1475,Doctypebranch: -0.1701 | Importance: -0.0897,Doctypebranch: -0.0403 | Importance: -0.0216,Doctypebranch: -0.2368 | Importance: -0.1125,Doctypebranch: -0.2216 | Importance: -0.2979
in_degree_centrality,Doctypebranch: -0.4095 | Importance: -0.3986,Doctypebranch: -0.3887 | Importance: -0.3811,Doctypebranch: -0.4260 | Importance: -0.4768,Doctypebranch: -0.3009 | Importance: -0.2981,Doctypebranch: -0.3496 | Importance: -0.4581,Doctypebranch: -0.1046 | Importance: -0.2526,Doctypebranch: -0.4641 | Importance: -0.5212,Doctypebranch: -0.3946 | Importance: -0.3294,Doctypebranch: -0.3888 | Importance: -0.3834,Doctypebranch: -0.3176 | Importance: -0.4762,Doctypebranch: -0.3219 | Importance: -0.4409,Doctypebranch: -0.4104 | Importance: -0.4080,Doctypebranch: -0.4550 | Importance: -0.5036,Doctypebranch: -0.4104 | Importance: -0.5357,Doctypebranch: -0.3990 | Importance: -0.4120,Doctypebranch: -0.4159 | Importance: -0.5337
