Correlation,Centrality,Ground Truth
0.6156333134737877,degree_centrality,importance
0.5783992664883675,degree_centrality,doctypebranch
0.5767156045841254,in_degree_centrality,importance
0.5387427750127037,in_degree_centrality,doctypebranch
0.3658453671215067,out_degree_centrality,importance
0.3459469064335094,out_degree_centrality,doctypebranch
0.48309415230979535,betweenness_centrality,importance
0.46409787789854734,betweenness_centrality,doctypebranch
0.5731999992639808,closeness_centrality,importance
0.5223630571268602,closeness_centrality,doctypebranch
0.6268765411514892,core_number,importance
0.5920749149849422,core_number,doctypebranch
0.5767156045841254,relative_in_degree_centrality,importance
0.5387427750127037,relative_in_degree_centrality,doctypebranch
0.5775592893372501,eigenvector_centrality,importance
0.5261000754847346,eigenvector_centrality,doctypebranch
0.5498421743849329,pagerank,importance
0.5104528593861294,pagerank,doctypebranch
0.3717608617203054,hits_hub,importance
0.3341316192104686,hits_hub,doctypebranch
0.5629938091883998,hits_authority,importance
0.5024027613676533,hits_authority,doctypebranch
0.5752613483589452,harmonic_centrality,importance
0.5242397371328137,harmonic_centrality,doctypebranch
-0.27715833713124455,disruption,importance
-0.2659522056730342,disruption,doctypebranch
0.6316896592971293,composite,importance
0.5969389735139387,composite,doctypebranch
