Correlation,Centrality,Ground Truth
0.6642767535824855,degree_centrality,importance
0.6140614736903967,degree_centrality,doctypebranch
0.7035174622303102,in_degree_centrality,importance
0.7028950629391024,in_degree_centrality,doctypebranch
0.5308257650243575,out_degree_centrality,importance
0.4620206855822087,out_degree_centrality,doctypebranch
0.681419825335252,betweenness_centrality,importance
0.6474753742392408,betweenness_centrality,doctypebranch
0.7038181522835957,closeness_centrality,importance
0.7014719030851757,closeness_centrality,doctypebranch
0.6627324029360442,core_number,importance
0.6047126992567794,core_number,doctypebranch
0.7035174622303102,relative_in_degree_centrality,importance
0.7028950629391024,relative_in_degree_centrality,doctypebranch
0.7047169151945133,eigenvector_centrality,importance
0.7013003028822853,eigenvector_centrality,doctypebranch
0.6989818289902202,pagerank,importance
0.7003654361117969,pagerank,doctypebranch
0.4793229856007003,hits_hub,importance
0.4155675961555457,hits_hub,doctypebranch
0.5621004442368936,hits_authority,importance
0.5653786608002406,hits_authority,doctypebranch
0.7038186599780941,harmonic_centrality,importance
0.701385712972136,harmonic_centrality,doctypebranch
0.6596691751706117,disruption,importance
0.6615896177060594,disruption,doctypebranch
0.7049492172822592,composite_ranking_importance_weight_composite_ranking,importance
0.7016136972911131,composite_ranking_importance_weight_composite_ranking,doctypebranch
0.7047169151945133,composite_ranking_importance_threshold_composite_ranking,importance
0.7013003028822853,composite_ranking_importance_threshold_composite_ranking,doctypebranch
0.6655206225663837,composite_ranking_doctypebranch_weight_composite_ranking,importance
0.6130011277582046,composite_ranking_doctypebranch_weight_composite_ranking,doctypebranch
0.664507874359961,composite_ranking_doctypebranch_threshold_composite_ranking,importance
0.6142751231436578,composite_ranking_doctypebranch_threshold_composite_ranking,doctypebranch
