Correlation,Centrality,Ground Truth
0.7383543782922758,degree_centrality,importance
0.6791395879269113,degree_centrality,doctypebranch
0.7011024483714435,in_degree_centrality,importance
0.677597607911826,in_degree_centrality,doctypebranch
0.6063941064414808,out_degree_centrality,importance
0.5368108122543148,out_degree_centrality,doctypebranch
0.6233308384268403,betweenness_centrality,importance
0.5880621439491533,betweenness_centrality,doctypebranch
0.6981715409326013,closeness_centrality,importance
0.6750812937432943,closeness_centrality,doctypebranch
0.736047290309718,core_number,importance
0.6752859011800199,core_number,doctypebranch
0.7011024483714435,relative_in_degree_centrality,importance
0.677597607911826,relative_in_degree_centrality,doctypebranch
0.6993498201359013,eigenvector_centrality,importance
0.6743671704855031,eigenvector_centrality,doctypebranch
0.6964867920545613,pagerank,importance
0.6748016163694905,pagerank,doctypebranch
0.5463763243835799,hits_hub,importance
0.47816399549904653,hits_hub,doctypebranch
0.5677683966374903,hits_authority,importance
0.538959901113416,hits_authority,doctypebranch
0.6982820961148335,harmonic_centrality,importance
0.6753601351546331,harmonic_centrality,doctypebranch
0.6242170993402396,disruption,importance
0.6099084294269238,disruption,doctypebranch
0.7381856887026104,composite_ranking_importance_weight_composite_ranking,importance
0.6786140381162592,composite_ranking_importance_weight_composite_ranking,doctypebranch
0.7390614750856606,composite_ranking_importance_threshold_composite_ranking,importance
0.6791399713927059,composite_ranking_importance_threshold_composite_ranking,doctypebranch
0.7011024483714435,composite_ranking_doctypebranch_weight_composite_ranking,importance
0.677597607911826,composite_ranking_doctypebranch_weight_composite_ranking,doctypebranch
0.7011024483714435,composite_ranking_doctypebranch_threshold_composite_ranking,importance
0.677597607911826,composite_ranking_doctypebranch_threshold_composite_ranking,doctypebranch
