Network,Initial Nodes,Valid Nodes,Removed Nodes,Total Edges,Connected Nodes,Non-Connected Nodes,Connected Components,Biggest Component Size,Density,Doctypebranch Distribution,Importance Distribution,Importance Pre-1998,Importance Post-1998
article_6,730,730,0,1825,507,223,2,505,0.00342936,"2: 267, 3: 260, 1: 203","3: 460, 1: 208, 2: 62","1: 18, 2: 7","3: 460, 1: 190, 2: 55"
article_41,544,544,0,3049,463,81,2,461,0.01032188,"1: 303, 2: 231, 3: 10","1: 320, 3: 115, 2: 109","1: 24, 2: 8","1: 296, 3: 115, 2: 101"
article_P1,286,286,0,667,158,128,3,154,0.00818305,"1: 105, 2: 102, 3: 79","3: 157, 1: 107, 2: 22","1: 5, 2: 1","3: 157, 1: 102, 2: 21"
article_3,272,272,0,719,230,42,1,230,0.00975418,"3: 131, 1: 73, 2: 68","3: 172, 1: 78, 2: 22",1: 4,"3: 172, 1: 74, 2: 22"
article_35,268,268,0,1502,242,26,1,242,0.02099055,"1: 180, 2: 84, 3: 4","1: 187, 2: 60, 3: 21","1: 5, 2: 1","1: 182, 2: 59, 3: 21"
article_5,261,261,0,666,211,50,2,209,0.00981432,"3: 123, 1: 72, 2: 66","3: 162, 1: 75, 2: 24","1: 5, 2: 1","3: 162, 1: 70, 2: 23"
article_8,230,230,0,699,173,57,1,173,0.01327131,"1: 119, 2: 66, 3: 45","1: 129, 3: 64, 2: 37","1: 10, 2: 1","1: 119, 3: 64, 2: 36"
article_13,229,229,0,332,130,99,1,130,0.00635869,"3: 105, 1: 69, 2: 55","3: 144, 1: 76, 2: 9",1: 10,"3: 144, 1: 66, 2: 9"
article_10,142,142,0,608,114,28,1,114,0.03036660,"1: 80, 2: 38, 3: 24","1: 82, 3: 36, 2: 24","1: 11, 2: 4","1: 71, 3: 36, 2: 20"
article_14,105,105,0,306,83,22,2,80,0.02802198,"1: 85, 2: 19, 3: 1","1: 85, 3: 10, 2: 10","1: 10, 2: 1","1: 75, 3: 10, 2: 9"
article_34,104,104,0,330,86,18,1,86,0.03080657,"1: 74, 2: 23, 3: 7","1: 74, 2: 17, 3: 13",1: 2,"1: 72, 2: 17, 3: 13"
article_2,87,87,0,302,76,11,1,76,0.04036354,"1: 49, 2: 20, 3: 18","1: 49, 3: 32, 2: 6",1: 4,"1: 45, 3: 32, 2: 6"
article_37,78,78,0,57,34,44,2,32,0.00949051,"1: 40, 2: 30, 3: 8","3: 35, 1: 33, 2: 10",,"3: 35, 1: 33, 2: 10"
article_29,74,74,0,3,5,69,2,3,0.00055535,"2: 66, 1: 8","3: 49, 2: 14, 1: 11",,"3: 49, 2: 14, 1: 11"
article_11,66,66,0,91,52,14,1,52,0.02121212,"3: 31, 1: 24, 2: 11","3: 35, 1: 23, 2: 8",1: 4,"3: 35, 1: 19, 2: 8"
article_46,51,51,0,233,44,7,1,44,0.09137255,"1: 44, 2: 7","1: 47, 2: 4",1: 4,"1: 43, 2: 4"
