Correlation,Centrality,Ground Truth
0.15107093491364354,degree_centrality,importance
0.26375386149076807,degree_centrality,doctypebranch
0.2981249825183022,in_degree_centrality,importance
0.30086531343262995,in_degree_centrality,doctypebranch
-0.05088570168752789,out_degree_centrality,importance
0.09609592321931584,out_degree_centrality,doctypebranch
0.21806090251570664,betweenness_centrality,importance
0.23546956300321778,betweenness_centrality,doctypebranch
0.31960444256527565,closeness_centrality,importance
0.3070424829523323,closeness_centrality,doctypebranch
0.10826695685934568,core_number,importance
0.21653006357284268,core_number,doctypebranch
0.2981249825183022,relative_in_degree_centrality,importance
0.30086531343262995,relative_in_degree_centrality,doctypebranch
0.31362176852098,eigenvector_centrality,importance
0.2961042888795531,eigenvector_centrality,doctypebranch
,pagerank,importance
,pagerank,doctypebranch
-0.02620107245241575,hits_hub,importance
0.12417242696468236,hits_hub,doctypebranch
0.24493189556936834,hits_authority,importance
0.2526392175900247,hits_authority,doctypebranch
0.3195228554814181,harmonic_centrality,importance
0.30860194252975043,harmonic_centrality,doctypebranch
0.0505118715333171,disruption,importance
-0.03203140584755652,disruption,doctypebranch
0.3197493153173022,composite,importance
0.3074677035493047,composite,doctypebranch
