Correlation,Centrality,Ground Truth
0.5593423816151973,degree_centrality,importance
0.5394203463148524,degree_centrality,doctypebranch
0.37104164996230093,in_degree_centrality,importance
0.38179526789253476,in_degree_centrality,doctypebranch
0.3983762322174895,out_degree_centrality,importance
0.4499370762236572,out_degree_centrality,doctypebranch
0.2702260357432143,betweenness_centrality,importance
0.34280646450410723,betweenness_centrality,doctypebranch
0.36978065069635235,closeness_centrality,importance
0.38139958113183187,closeness_centrality,doctypebranch
0.5256981837482831,core_number,importance
0.4893952115261977,core_number,doctypebranch
0.37104164996230093,relative_in_degree_centrality,importance
0.38179526789253476,relative_in_degree_centrality,doctypebranch
0.3610453519924629,eigenvector_centrality,importance
0.3630045443453896,eigenvector_centrality,doctypebranch
0.3750139807739768,pagerank,importance
0.38022005431632167,pagerank,doctypebranch
0.36384511314013446,hits_hub,importance
0.4117744113216785,hits_hub,doctypebranch
0.2854871468722609,hits_authority,importance
0.29392413884736596,hits_authority,doctypebranch
0.3698556483860764,harmonic_centrality,importance
0.3775343422759874,harmonic_centrality,doctypebranch
0.3147263215367609,disruption,importance
0.2982800477141155,disruption,doctypebranch
0.5519475226511393,composite_ranking_importance_weight_composite_ranking,importance
0.53113741713705,composite_ranking_importance_weight_composite_ranking,doctypebranch
0.5665866704967334,composite_ranking_importance_threshold_composite_ranking,importance
0.5366248663380386,composite_ranking_importance_threshold_composite_ranking,doctypebranch
0.4105070658711098,composite_ranking_doctypebranch_weight_composite_ranking,importance
0.46865223583580135,composite_ranking_doctypebranch_weight_composite_ranking,doctypebranch
0.3983762322174895,composite_ranking_doctypebranch_threshold_composite_ranking,importance
0.4499370762236572,composite_ranking_doctypebranch_threshold_composite_ranking,doctypebranch
