Correlation,Centrality,Ground Truth
0.19838422934064162,degree_centrality,importance
0.07050215515563746,degree_centrality,doctypebranch
0.24181420473271356,in_degree_centrality,importance
0.033959708808649104,in_degree_centrality,doctypebranch
0.03197222251034288,out_degree_centrality,importance
-0.015928950278881103,out_degree_centrality,doctypebranch
0.24842425124355333,betweenness_centrality,importance
-0.028718211932555526,betweenness_centrality,doctypebranch
0.25284600880915553,closeness_centrality,importance
0.04252645553081944,closeness_centrality,doctypebranch
0.19290341967382016,core_number,importance
0.030814102138919483,core_number,doctypebranch
0.24181420473271356,relative_in_degree_centrality,importance
0.033959708808649104,relative_in_degree_centrality,doctypebranch
0.26643919724435605,eigenvector_centrality,importance
0.04946955031136139,eigenvector_centrality,doctypebranch
0.24998227070445853,pagerank,importance
0.0660603954697995,pagerank,doctypebranch
0.35244794444889843,hits_hub,importance
0.02780445921879461,hits_hub,doctypebranch
0.3097060629378287,hits_authority,importance
0.06705024174192119,hits_authority,doctypebranch
0.25284600880915553,harmonic_centrality,importance
0.03905490814054846,harmonic_centrality,doctypebranch
0.03718983693089592,disruption,importance
0.05887026309538276,disruption,doctypebranch
0.4482212919500961,composite,importance
0.0682543727805662,composite,doctypebranch
