Correlation,Centrality,Ground Truth
0.7149639345355152,degree_centrality,importance
0.6394387773278153,degree_centrality,doctypebranch
0.7310037284772762,in_degree_centrality,importance
0.7073773661363097,in_degree_centrality,doctypebranch
0.5455876500053786,out_degree_centrality,importance
0.45926279277878107,out_degree_centrality,doctypebranch
0.6695783685211193,betweenness_centrality,importance
0.6228393461965149,betweenness_centrality,doctypebranch
0.7196962372781907,closeness_centrality,importance
0.6963775213257237,closeness_centrality,doctypebranch
0.7146192226073526,core_number,importance
0.6376438357234576,core_number,doctypebranch
0.7310037284772762,relative_in_degree_centrality,importance
0.7073773661363097,relative_in_degree_centrality,doctypebranch
0.7188639596085918,eigenvector_centrality,importance
0.694836473865851,eigenvector_centrality,doctypebranch
0.7154073243931783,pagerank,importance
0.6985169819686952,pagerank,doctypebranch
0.4870461780839511,hits_hub,importance
0.41094820284570655,hits_hub,doctypebranch
0.6230406666819812,hits_authority,importance
0.6059997733096902,hits_authority,doctypebranch
0.7207901868786205,harmonic_centrality,importance
0.6972358666317171,harmonic_centrality,doctypebranch
0.629766707807953,disruption,importance
0.6221654554638264,disruption,doctypebranch
0.7310037284772762,composite_ranking_importance_weight_composite_ranking,importance
0.7073773661363097,composite_ranking_importance_weight_composite_ranking,doctypebranch
0.7310037284772762,composite_ranking_importance_threshold_composite_ranking,importance
0.7073773661363097,composite_ranking_importance_threshold_composite_ranking,doctypebranch
0.7150050175125225,composite_ranking_doctypebranch_weight_composite_ranking,importance
0.6391054291906998,composite_ranking_doctypebranch_weight_composite_ranking,doctypebranch
0.7149639345355152,composite_ranking_doctypebranch_threshold_composite_ranking,importance
0.6394387773278153,composite_ranking_doctypebranch_threshold_composite_ranking,doctypebranch
