Correlation,Centrality,Ground Truth
0.7149639345355152,degree_centrality,importance
0.6394387773278153,degree_centrality,doctypebranch
0.7310037284772762,in_degree_centrality,importance
0.7073773661363097,in_degree_centrality,doctypebranch
0.5455876500053786,out_degree_centrality,importance
0.45926279277878107,out_degree_centrality,doctypebranch
0.6699107177028033,betweenness_centrality,importance
0.6227727225901438,betweenness_centrality,doctypebranch
0.7196962372781907,closeness_centrality,importance
0.6963775213257237,closeness_centrality,doctypebranch
0.7146192226073526,core_number,importance
0.6376438357234576,core_number,doctypebranch
0.7310037284772762,relative_in_degree_centrality,importance
0.7073773661363097,relative_in_degree_centrality,doctypebranch
0.7188639596085918,eigenvector_centrality,importance
0.694836473865851,eigenvector_centrality,doctypebranch
,pagerank,importance
,pagerank,doctypebranch
0.4849534479277336,hits_hub,importance
0.4087577442518932,hits_hub,doctypebranch
0.6338418884207518,hits_authority,importance
0.6174660628726125,hits_authority,doctypebranch
0.720789453914497,harmonic_centrality,importance
0.6972348332318639,harmonic_centrality,doctypebranch
-0.2984168409006561,disruption,importance
-0.2807877675500279,disruption,doctypebranch
0.7310037284772762,composite,importance
0.7073773661363097,composite,doctypebranch
