Centrality,full-balanced-importance
betweenness_centrality,Doctypebranch: -0.3754 | Importance: -0.4456
closeness_centrality,Doctypebranch: -0.4107 | Importance: -0.5233
core_number,Doctypebranch: -0.3955 | Importance: -0.4910
degree_centrality,Doctypebranch: -0.4050 | Importance: -0.5059
disruption,Doctypebranch: 0.1897 | Importance: 0.2189
eigenvector_centrality,Doctypebranch: -0.4089 | Importance: -0.5232
harmonic_centrality,Doctypebranch: -0.4135 | Importance: -0.5258
hits_authority,Doctypebranch: -0.4149 | Importance: -0.4985
hits_hub,Doctypebranch: -0.1902 | Importance: -0.2154
in_degree_centrality,Doctypebranch: -0.4451 | Importance: -0.5477
out_degree_centrality,Doctypebranch: -0.2430 | Importance: -0.2955
pagerank,Doctypebranch: nan | Importance: nan
relative_in_degree_centrality,Doctypebranch: -0.4451 | Importance: -0.5477
