Correlation,Centrality,Ground Truth
0.5059358571331906,degree_centrality,importance
0.40500635635261917,degree_centrality,doctypebranch
0.5477217811737101,in_degree_centrality,importance
0.4451297444240184,in_degree_centrality,doctypebranch
0.29549375635916286,out_degree_centrality,importance
0.24295633583079376,out_degree_centrality,doctypebranch
0.4455771944948215,betweenness_centrality,importance
0.37532851446168186,betweenness_centrality,doctypebranch
0.5232957557301594,closeness_centrality,importance
0.41069272056464423,closeness_centrality,doctypebranch
0.49098928403795694,core_number,importance
0.3954708572076275,core_number,doctypebranch
0.5477217811737101,relative_in_degree_centrality,importance
0.4451297444240184,relative_in_degree_centrality,doctypebranch
0.5231948690814162,eigenvector_centrality,importance
0.40893998144393584,eigenvector_centrality,doctypebranch
0.5456217770770669,pagerank,importance
0.4315885430817922,pagerank,doctypebranch
0.21823032009241436,hits_hub,importance
0.18992980750888053,hits_hub,doctypebranch
0.49558209729342173,hits_authority,importance
0.41678319789413526,hits_authority,doctypebranch
0.5257754597662753,harmonic_centrality,importance
0.41353973141186495,harmonic_centrality,doctypebranch
0.35578379663712945,disruption,importance
0.2973522239729748,disruption,doctypebranch
0.5477217811737101,composite_ranking_importance_weight_composite_ranking,importance
0.4451297444240184,composite_ranking_importance_weight_composite_ranking,doctypebranch
0.5477217811737101,composite_ranking_importance_threshold_composite_ranking,importance
0.4451297444240184,composite_ranking_importance_threshold_composite_ranking,doctypebranch
0.5042903079838627,composite_ranking_doctypebranch_weight_composite_ranking,importance
0.40409931864683185,composite_ranking_doctypebranch_weight_composite_ranking,doctypebranch
0.5058525355146524,composite_ranking_doctypebranch_threshold_composite_ranking,importance
0.4045745818330591,composite_ranking_doctypebranch_threshold_composite_ranking,doctypebranch
