Correlation,Centrality,Ground Truth
0.5059358571331906,degree_centrality,importance
0.40500635635261917,degree_centrality,doctypebranch
0.5477217811737101,in_degree_centrality,importance
0.4451297444240184,in_degree_centrality,doctypebranch
0.29549375635916286,out_degree_centrality,importance
0.24295633583079376,out_degree_centrality,doctypebranch
0.44560101800874985,betweenness_centrality,importance
0.37536147673326337,betweenness_centrality,doctypebranch
0.5232957557301594,closeness_centrality,importance
0.41069272056464423,closeness_centrality,doctypebranch
0.49098928403795694,core_number,importance
0.3954708572076275,core_number,doctypebranch
0.5477217811737101,relative_in_degree_centrality,importance
0.4451297444240184,relative_in_degree_centrality,doctypebranch
0.5231948690814162,eigenvector_centrality,importance
0.40893998144393584,eigenvector_centrality,doctypebranch
,pagerank,importance
,pagerank,doctypebranch
0.2153718945186925,hits_hub,importance
0.19019425825709216,hits_hub,doctypebranch
0.49845881217392196,hits_authority,importance
0.4149063623596266,hits_authority,doctypebranch
0.5257744445713286,harmonic_centrality,importance
0.41353860706451673,harmonic_centrality,doctypebranch
-0.21889218356034562,disruption,importance
-0.1896852647166254,disruption,doctypebranch
0.5477217811737101,composite,importance
0.4451297444240184,composite,doctypebranch
