Correlation,Centrality,Ground Truth
0.48694732750774866,degree_centrality,importance
0.22280827060749636,degree_centrality,doctypebranch
0.4679828785479009,in_degree_centrality,importance
0.44622468728776826,in_degree_centrality,doctypebranch
0.34951327354426925,out_degree_centrality,importance
0.06284160257631166,out_degree_centrality,doctypebranch
0.44339929197280414,betweenness_centrality,importance
0.36367874964667873,betweenness_centrality,doctypebranch
0.4432353441817267,closeness_centrality,importance
0.44666853168794357,closeness_centrality,doctypebranch
0.4781396535658057,core_number,importance
0.2052618032711359,core_number,doctypebranch
0.4679828785479009,relative_in_degree_centrality,importance
0.44622468728776826,relative_in_degree_centrality,doctypebranch
0.4429894084149705,eigenvector_centrality,importance
0.4464002940308099,eigenvector_centrality,doctypebranch
0.4551049874027624,pagerank,importance
0.4410850564947967,pagerank,doctypebranch
0.1951233152195707,hits_hub,importance
0.012122196909532599,hits_hub,doctypebranch
0.4169450398495465,hits_authority,importance
0.41264433440293885,hits_authority,doctypebranch
0.44771471320583195,harmonic_centrality,importance
0.4479566871788883,harmonic_centrality,doctypebranch
-0.26600301866898973,disruption,importance
-0.1608614528770141,disruption,doctypebranch
0.44771471320583195,composite,importance
0.4479566871788883,composite,doctypebranch
