Network,Initial Nodes,Valid Nodes,Removed Nodes,Total Edges,Connected Nodes,Non-Connected Nodes,Connected Components,Biggest Component Size,Density,Doctypebranch Distribution,Importance Distribution,Importance Pre-1998,Importance Post-1998
full_unbalanced/full-unbalanced,27801,27801,0,232002,23306,4495,25,23252,0.00030018,"2: 20717, 3: 6570, 1: 514","3: 19895, 2: 5756, 1: 2150","1: 420, 2: 238, 3: 179","3: 19716, 2: 5518, 1: 1730"
split_unbalanced/article_6,14811,14811,0,68812,11859,2952,6,11847,0.00031371,"2: 11282, 3: 3326, 1: 203","3: 11602, 2: 2359, 1: 850","1: 192, 2: 169, 3: 152","3: 11450, 2: 2190, 1: 658"
importance_merged_100_cutoff_unbalanced/article_6,14811,14811,0,68812,11859,2952,6,11847,0.00031371,"2: 11282, 3: 3326, 1: 203","3: 11602, 2: 2359, 1: 850","1: 192, 2: 169, 3: 152","3: 11450, 2: 2190, 1: 658"
importance_merged_150_cutoff_unbalanced/article_6,14811,14811,0,68812,11859,2952,6,11847,0.00031371,"2: 11282, 3: 3326, 1: 203","3: 11602, 2: 2359, 1: 850","1: 192, 2: 169, 3: 152","3: 11450, 2: 2190, 1: 658"
split_unbalanced/article_41,10100,10100,0,75751,9058,1042,13,9030,0.00074266,"2: 9721, 1: 303, 3: 76","2: 4318, 3: 4271, 1: 1511","1: 258, 2: 150, 3: 86","3: 4185, 2: 4168, 1: 1253"
importance_merged_100_cutoff_unbalanced/article_41,10100,10100,0,75751,9058,1042,13,9030,0.00074266,"2: 9721, 1: 303, 3: 76","2: 4318, 3: 4271, 1: 1511","1: 258, 2: 150, 3: 86","3: 4185, 2: 4168, 1: 1253"
importance_merged_150_cutoff_unbalanced/article_41,10100,10100,0,75751,9058,1042,13,9030,0.00074266,"2: 9721, 1: 303, 3: 76","2: 4318, 3: 4271, 1: 1511","1: 258, 2: 150, 3: 86","3: 4185, 2: 4168, 1: 1253"
full_balanced_importance/full-balanced-importance,6450,6450,0,49586,5546,904,21,5504,0.00119208,"2: 5227, 3: 728, 1: 495","3: 2150, 2: 2150, 1: 2150","1: 420, 2: 106, 3: 18","3: 2132, 2: 2044, 1: 1730"
split_unbalanced/article_P1,4746,4746,0,20308,3470,1276,8,3450,0.00090179,"2: 3704, 3: 937, 1: 105","3: 3588, 2: 795, 1: 363","1: 55, 2: 18, 3: 12","3: 3576, 2: 777, 1: 308"
importance_merged_100_cutoff_unbalanced/article_P1,4746,4746,0,20308,3470,1276,8,3450,0.00090179,"2: 3704, 3: 937, 1: 105","3: 3588, 2: 795, 1: 363","1: 55, 2: 18, 3: 12","3: 3576, 2: 777, 1: 308"
importance_merged_150_cutoff_unbalanced/article_P1,4746,4746,0,20308,3470,1276,8,3450,0.00090179,"2: 3704, 3: 937, 1: 105","3: 3588, 2: 795, 1: 363","1: 55, 2: 18, 3: 12","3: 3576, 2: 777, 1: 308"
split_unbalanced/article_3,4606,4606,0,40917,4191,415,2,4189,0.00192908,"2: 2986, 3: 1547, 1: 73","3: 3144, 2: 1115, 1: 347","1: 39, 3: 10, 2: 9","3: 3134, 2: 1106, 1: 308"
importance_merged_100_cutoff_unbalanced/article_3,4606,4606,0,40917,4191,415,2,4189,0.00192908,"2: 2986, 3: 1547, 1: 73","3: 3144, 2: 1115, 1: 347","1: 39, 3: 10, 2: 9","3: 3134, 2: 1106, 1: 308"
importance_merged_150_cutoff_unbalanced/article_3,4606,4606,0,40917,4191,415,2,4189,0.00192908,"2: 2986, 3: 1547, 1: 73","3: 3144, 2: 1115, 1: 347","1: 39, 3: 10, 2: 9","3: 3134, 2: 1106, 1: 308"
split_unbalanced/article_5,4302,4302,0,33171,3854,448,4,3848,0.00179275,"2: 2763, 3: 1467, 1: 72","3: 3080, 2: 905, 1: 317","1: 76, 2: 30, 3: 17","3: 3063, 2: 875, 1: 241"
importance_merged_100_cutoff_unbalanced/article_5,4302,4302,0,33171,3854,448,4,3848,0.00179275,"2: 2763, 3: 1467, 1: 72","3: 3080, 2: 905, 1: 317","1: 76, 2: 30, 3: 17","3: 3063, 2: 875, 1: 241"
importance_merged_150_cutoff_unbalanced/article_5,4302,4302,0,33171,3854,448,4,3848,0.00179275,"2: 2763, 3: 1467, 1: 72","3: 3080, 2: 905, 1: 317","1: 76, 2: 30, 3: 17","3: 3063, 2: 875, 1: 241"
split_unbalanced/article_13,3990,3990,0,16112,3313,677,3,3309,0.00101231,"2: 2527, 3: 1394, 1: 69","3: 2917, 2: 693, 1: 380","1: 70, 2: 32, 3: 9","3: 2908, 2: 661, 1: 310"
importance_merged_100_cutoff_unbalanced/article_13,3990,3990,0,16112,3313,677,3,3309,0.00101231,"2: 2527, 3: 1394, 1: 69","3: 2917, 2: 693, 1: 380","1: 70, 2: 32, 3: 9","3: 2908, 2: 661, 1: 310"
importance_merged_150_cutoff_unbalanced/article_13,3990,3990,0,16112,3313,677,3,3309,0.00101231,"2: 2527, 3: 1394, 1: 69","3: 2917, 2: 693, 1: 380","1: 70, 2: 32, 3: 9","3: 2908, 2: 661, 1: 310"
split_unbalanced/article_35,3632,3632,0,22283,3384,248,7,3363,0.00168967,"2: 3436, 1: 180, 3: 16","2: 2235, 3: 718, 1: 679","1: 78, 2: 47, 3: 13","2: 2188, 3: 705, 1: 601"
importance_merged_100_cutoff_unbalanced/article_35,3632,3632,0,22283,3384,248,7,3363,0.00168967,"2: 3436, 1: 180, 3: 16","2: 2235, 3: 718, 1: 679","1: 78, 2: 47, 3: 13","2: 2188, 3: 705, 1: 601"
importance_merged_150_cutoff_unbalanced/article_35,3632,3632,0,22283,3384,248,7,3363,0.00168967,"2: 3436, 1: 180, 3: 16","2: 2235, 3: 718, 1: 679","1: 78, 2: 47, 3: 13","2: 2188, 3: 705, 1: 601"
split_balanced_importance/article_41,3595,3595,0,25685,3230,365,13,3206,0.00198794,"2: 3288, 1: 295, 3: 12","2: 1616, 1: 1511, 3: 468","1: 258, 2: 70, 3: 7","2: 1546, 1: 1253, 3: 461"
importance_merged_100_cutoff_balanced_importance/article_41,3595,3595,0,25685,3230,365,13,3206,0.00198794,"2: 3288, 1: 295, 3: 12","2: 1616, 1: 1511, 3: 468","1: 258, 2: 70, 3: 7","2: 1546, 1: 1253, 3: 461"
importance_merged_150_cutoff_balanced_importance/article_41,3595,3595,0,25685,3230,365,13,3206,0.00198794,"2: 3288, 1: 295, 3: 12","2: 1616, 1: 1511, 3: 468","1: 258, 2: 70, 3: 7","2: 1546, 1: 1253, 3: 461"
split_unbalanced/article_8,3046,3046,0,20696,2657,389,2,2655,0.00223136,"2: 2380, 3: 547, 1: 119","3: 1370, 2: 1140, 1: 536","1: 88, 2: 31, 3: 12","3: 1358, 2: 1109, 1: 448"
importance_merged_100_cutoff_unbalanced/article_8,3046,3046,0,20696,2657,389,2,2655,0.00223136,"2: 2380, 3: 547, 1: 119","3: 1370, 2: 1140, 1: 536","1: 88, 2: 31, 3: 12","3: 1358, 2: 1109, 1: 448"
importance_merged_150_cutoff_unbalanced/article_8,3046,3046,0,20696,2657,389,2,2655,0.00223136,"2: 2380, 3: 547, 1: 119","3: 1370, 2: 1140, 1: 536","1: 88, 2: 31, 3: 12","3: 1358, 2: 1109, 1: 448"
split_balanced_importance/article_6,2987,2987,0,11460,2392,595,6,2380,0.00128487,"2: 2412, 3: 383, 1: 192","3: 1243, 2: 894, 1: 850","1: 192, 2: 72, 3: 13","3: 1230, 2: 822, 1: 658"
importance_merged_100_cutoff_balanced_importance/article_6,2987,2987,0,11460,2392,595,6,2380,0.00128487,"2: 2412, 3: 383, 1: 192","3: 1243, 2: 894, 1: 850","1: 192, 2: 72, 3: 13","3: 1230, 2: 822, 1: 658"
