Correlation,Centrality,Ground Truth
0.25588477140106675,degree_centrality,importance
0.17257891106379425,degree_centrality,doctypebranch
0.2121573478707407,in_degree_centrality,importance
0.2188559740245014,in_degree_centrality,doctypebranch
0.1380484967906158,out_degree_centrality,importance
0.006161671544007589,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.2121573478707407,closeness_centrality,importance
0.2188559740245014,closeness_centrality,doctypebranch
0.2556696916432861,core_number,importance
0.17426685394187763,core_number,doctypebranch
0.2121573478707407,relative_in_degree_centrality,importance
0.2188559740245014,relative_in_degree_centrality,doctypebranch
0.2121573478707407,eigenvector_centrality,importance
0.2188559740245014,eigenvector_centrality,doctypebranch
0.21064687271504653,pagerank,importance
0.21676557968205235,pagerank,doctypebranch
0.04951064161759131,hits_hub,importance
-0.03843941020793768,hits_hub,doctypebranch
0.008808780604267647,hits_authority,importance
-0.02229324427777212,hits_authority,doctypebranch
0.2121573478707407,harmonic_centrality,importance
0.2188559740245014,harmonic_centrality,doctypebranch
0.21196688131571081,disruption,importance
0.21759735649369058,disruption,doctypebranch
0.2121573478707407,composite,importance
0.2188559740245014,composite,doctypebranch
