Correlation,Centrality,Ground Truth
0.16777881201792613,degree_centrality,importance
0.16855065393086888,degree_centrality,doctypebranch
0.17412783418931824,in_degree_centrality,importance
0.1277114448815677,in_degree_centrality,doctypebranch
0.04509442510084391,out_degree_centrality,importance
0.10440711626208875,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.17412783418931824,closeness_centrality,importance
0.1277114448815677,closeness_centrality,doctypebranch
0.16562282466101502,core_number,importance
0.1662434251942652,core_number,doctypebranch
0.17412783418931824,relative_in_degree_centrality,importance
0.1277114448815677,relative_in_degree_centrality,doctypebranch
0.17412783418931824,eigenvector_centrality,importance
0.1277114448815677,eigenvector_centrality,doctypebranch
0.17526672214944458,pagerank,importance
0.12912871838641612,pagerank,doctypebranch
0.08151337693780834,hits_hub,importance
0.08908588395040112,hits_hub,doctypebranch
0.09770991516210732,hits_authority,importance
0.10769233522184923,hits_authority,doctypebranch
0.17412783418931824,harmonic_centrality,importance
0.1277114448815677,harmonic_centrality,doctypebranch
0.17703144333174806,disruption,importance
0.1303958460172533,disruption,doctypebranch
0.17526672214944458,composite,importance
0.12912871838641612,composite,doctypebranch
