Centrality,article_1,article_13,article_2,article_3,article_35,article_35-1,article_4,article_41,article_5,article_5-1,article_5-3,article_6,article_6-1,article_8,article_8-1,article_P1-1,article_P1-1-1
betweenness_centrality,Doctypebranch: -0.0286 | Importance: -0.0068,Doctypebranch: nan | Importance: nan,Doctypebranch: 0.0423 | Importance: 0.0683,Doctypebranch: 0.0070 | Importance: 0.0348,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: -0.0190 | Importance: -0.0057,Doctypebranch: -0.0171 | Importance: -0.0015,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: -0.0025 | Importance: 0.0409,Doctypebranch: -0.0076 | Importance: 0.0433,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan
closeness_centrality,Doctypebranch: -0.3623 | Importance: -0.3609,Doctypebranch: -0.1277 | Importance: -0.1741,Doctypebranch: -0.3039 | Importance: -0.2903,Doctypebranch: -0.2630 | Importance: -0.2659,Doctypebranch: -0.2206 | Importance: -0.2054,Doctypebranch: -0.2225 | Importance: -0.2061,Doctypebranch: -0.3252 | Importance: -0.2871,Doctypebranch: -0.3618 | Importance: -0.3071,Doctypebranch: -0.2790 | Importance: -0.2621,Doctypebranch: -0.3058 | Importance: -0.2744,Doctypebranch: -0.2221 | Importance: -0.2270,Doctypebranch: -0.3047 | Importance: -0.3160,Doctypebranch: -0.3255 | Importance: -0.3365,Doctypebranch: -0.1619 | Importance: -0.1514,Doctypebranch: -0.1789 | Importance: -0.1667,Doctypebranch: -0.3690 | Importance: -0.3826,Doctypebranch: -0.3724 | Importance: -0.3806
core_number,Doctypebranch: -0.2935 | Importance: -0.2451,Doctypebranch: -0.1662 | Importance: -0.1656,Doctypebranch: -0.1405 | Importance: -0.1372,Doctypebranch: -0.2123 | Importance: -0.2010,Doctypebranch: -0.0266 | Importance: -0.0006,Doctypebranch: 0.0414 | Importance: 0.0690,Doctypebranch: -0.0931 | Importance: -0.0263,Doctypebranch: -0.0243 | Importance: 0.0535,Doctypebranch: -0.2267 | Importance: -0.2020,Doctypebranch: -0.2194 | Importance: -0.1740,Doctypebranch: -0.2186 | Importance: -0.2344,Doctypebranch: -0.2319 | Importance: -0.1390,Doctypebranch: -0.2671 | Importance: -0.1455,Doctypebranch: -0.0830 | Importance: -0.1056,Doctypebranch: -0.1006 | Importance: -0.1205,Doctypebranch: -0.3108 | Importance: -0.3248,Doctypebranch: -0.3247 | Importance: -0.3010
degree_centrality,Doctypebranch: -0.2899 | Importance: -0.2443,Doctypebranch: -0.1686 | Importance: -0.1678,Doctypebranch: -0.1318 | Importance: -0.1322,Doctypebranch: -0.2110 | Importance: -0.2006,Doctypebranch: -0.0139 | Importance: 0.0122,Doctypebranch: 0.0526 | Importance: 0.0805,Doctypebranch: -0.0849 | Importance: -0.0221,Doctypebranch: -0.0109 | Importance: 0.0594,Doctypebranch: -0.2233 | Importance: -0.1986,Doctypebranch: -0.2131 | Importance: -0.1686,Doctypebranch: -0.2143 | Importance: -0.2307,Doctypebranch: -0.2319 | Importance: -0.1409,Doctypebranch: -0.2674 | Importance: -0.1475,Doctypebranch: -0.0793 | Importance: -0.1036,Doctypebranch: -0.0962 | Importance: -0.1181,Doctypebranch: -0.3068 | Importance: -0.3242,Doctypebranch: -0.3218 | Importance: -0.3003
disruption,Doctypebranch: -0.3581 | Importance: -0.3602,Doctypebranch: -0.1304 | Importance: -0.1770,Doctypebranch: -0.3047 | Importance: -0.2919,Doctypebranch: -0.2651 | Importance: -0.2679,Doctypebranch: -0.2226 | Importance: -0.2073,Doctypebranch: -0.2229 | Importance: -0.2064,Doctypebranch: -0.3244 | Importance: -0.2909,Doctypebranch: -0.3599 | Importance: -0.3116,Doctypebranch: -0.2812 | Importance: -0.2642,Doctypebranch: -0.3073 | Importance: -0.2760,Doctypebranch: -0.2242 | Importance: -0.2290,Doctypebranch: -0.3043 | Importance: -0.3248,Doctypebranch: -0.3240 | Importance: -0.3461,Doctypebranch: -0.1630 | Importance: -0.1524,Doctypebranch: -0.1802 | Importance: -0.1678,Doctypebranch: -0.3694 | Importance: -0.3833,Doctypebranch: -0.3727 | Importance: -0.3810
eigenvector_centrality,Doctypebranch: -0.3626 | Importance: -0.3613,Doctypebranch: -0.1277 | Importance: -0.1741,Doctypebranch: -0.3039 | Importance: -0.2903,Doctypebranch: -0.2632 | Importance: -0.2660,Doctypebranch: -0.2206 | Importance: -0.2054,Doctypebranch: -0.2225 | Importance: -0.2061,Doctypebranch: -0.3256 | Importance: -0.2877,Doctypebranch: -0.3619 | Importance: -0.3074,Doctypebranch: -0.2790 | Importance: -0.2621,Doctypebranch: -0.3058 | Importance: -0.2744,Doctypebranch: -0.2221 | Importance: -0.2270,Doctypebranch: -0.3047 | Importance: -0.3160,Doctypebranch: -0.3256 | Importance: -0.3366,Doctypebranch: -0.1619 | Importance: -0.1514,Doctypebranch: -0.1789 | Importance: -0.1667,Doctypebranch: -0.3690 | Importance: -0.3826,Doctypebranch: -0.3724 | Importance: -0.3806
harmonic_centrality,Doctypebranch: -0.3623 | Importance: -0.3609,Doctypebranch: -0.1277 | Importance: -0.1741,Doctypebranch: -0.3039 | Importance: -0.2903,Doctypebranch: -0.2630 | Importance: -0.2659,Doctypebranch: -0.2206 | Importance: -0.2054,Doctypebranch: -0.2225 | Importance: -0.2061,Doctypebranch: -0.3252 | Importance: -0.2871,Doctypebranch: -0.3618 | Importance: -0.3071,Doctypebranch: -0.2790 | Importance: -0.2621,Doctypebranch: -0.3058 | Importance: -0.2744,Doctypebranch: -0.2221 | Importance: -0.2270,Doctypebranch: -0.3047 | Importance: -0.3160,Doctypebranch: -0.3255 | Importance: -0.3365,Doctypebranch: -0.1619 | Importance: -0.1514,Doctypebranch: -0.1789 | Importance: -0.1667,Doctypebranch: -0.3690 | Importance: -0.3826,Doctypebranch: -0.3724 | Importance: -0.3806
hits_authority,Doctypebranch: -0.1729 | Importance: -0.1701,Doctypebranch: -0.1077 | Importance: -0.0977,Doctypebranch: -0.1123 | Importance: -0.0921,Doctypebranch: -0.1275 | Importance: -0.1389,Doctypebranch: -0.0841 | Importance: -0.0809,Doctypebranch: -0.0829 | Importance: -0.0915,Doctypebranch: -0.1437 | Importance: -0.1519,Doctypebranch: -0.2935 | Importance: -0.2425,Doctypebranch: -0.1400 | Importance: -0.1246,Doctypebranch: -0.1454 | Importance: -0.1092,Doctypebranch: -0.0867 | Importance: -0.0831,Doctypebranch: -0.1630 | Importance: -0.1560,Doctypebranch: -0.1574 | Importance: -0.1406,Doctypebranch: -0.0682 | Importance: -0.0922,Doctypebranch: -0.1146 | Importance: -0.0571,Doctypebranch: -0.1251 | Importance: -0.0928,Doctypebranch: -0.2149 | Importance: -0.1720
hits_hub,Doctypebranch: 0.0057 | Importance: 0.0949,Doctypebranch: -0.0891 | Importance: -0.0815,Doctypebranch: 0.1238 | Importance: 0.1668,Doctypebranch: 0.0137 | Importance: 0.0430,Doctypebranch: 0.1397 | Importance: 0.1628,Doctypebranch: 0.0000 | Importance: 0.0424,Doctypebranch: 0.2129 | Importance: 0.2788,Doctypebranch: 0.3536 | Importance: 0.4107,Doctypebranch: 0.0071 | Importance: 0.0323,Doctypebranch: 0.0248 | Importance: 0.0421,Doctypebranch: -0.0943 | Importance: -0.0855,Doctypebranch: -0.0079 | Importance: 0.1427,Doctypebranch: -0.0325 | Importance: 0.1453,Doctypebranch: -0.0187 | Importance: -0.0549,Doctypebranch: 0.0176 | Importance: -0.0261,Doctypebranch: -0.0154 | Importance: -0.0031,Doctypebranch: 0.0078 | Importance: 0.0520
in_degree_centrality,Doctypebranch: -0.3622 | Importance: -0.3609,Doctypebranch: -0.1277 | Importance: -0.1741,Doctypebranch: -0.3038 | Importance: -0.2903,Doctypebranch: -0.2630 | Importance: -0.2658,Doctypebranch: -0.2206 | Importance: -0.2054,Doctypebranch: -0.2225 | Importance: -0.2061,Doctypebranch: -0.3251 | Importance: -0.2870,Doctypebranch: -0.3618 | Importance: -0.3070,Doctypebranch: -0.2790 | Importance: -0.2621,Doctypebranch: -0.3058 | Importance: -0.2744,Doctypebranch: -0.2221 | Importance: -0.2270,Doctypebranch: -0.3047 | Importance: -0.3159,Doctypebranch: -0.3254 | Importance: -0.3363,Doctypebranch: -0.1619 | Importance: -0.1514,Doctypebranch: -0.1789 | Importance: -0.1667,Doctypebranch: -0.3690 | Importance: -0.3826,Doctypebranch: -0.3724 | Importance: -0.3806
