Correlation,Centrality,Ground Truth
-0.008964455664990132,degree_centrality,importance
-0.025559129780332247,degree_centrality,doctypebranch
0.2820329057586197,in_degree_centrality,importance
0.23315825168132742,in_degree_centrality,doctypebranch
-0.4286946791054605,out_degree_centrality,importance
-0.38716384259734543,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.2820329057586197,closeness_centrality,importance
0.23315825168132742,closeness_centrality,doctypebranch
0.007967899681961491,core_number,importance
-0.009236375006995924,core_number,doctypebranch
0.2820329057586197,relative_in_degree_centrality,importance
0.23315825168132742,relative_in_degree_centrality,doctypebranch
0.2820329057586197,eigenvector_centrality,importance
0.23315825168132742,eigenvector_centrality,doctypebranch
0.2808870201573571,pagerank,importance
0.22455224198786314,pagerank,doctypebranch
-0.2783157651817108,hits_hub,importance
-0.23229830555840725,hits_hub,doctypebranch
0.2611024758417736,hits_authority,importance
0.2287247608257056,hits_authority,doctypebranch
0.2820329057586197,harmonic_centrality,importance
0.23315825168132742,harmonic_centrality,doctypebranch
0.28292633190363725,disruption,importance
0.23196827642521586,disruption,doctypebranch
0.09078805379397292,composite,importance
0.061306978636111446,composite,doctypebranch
