Correlation,Centrality,Ground Truth
0.3002993556394668,degree_centrality,importance
0.3218440938199994,degree_centrality,doctypebranch
0.3806133863429,in_degree_centrality,importance
0.3723724938744619,in_degree_centrality,doctypebranch
0.0014831736185508617,out_degree_centrality,importance
0.043698191150216184,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.3806133863429,closeness_centrality,importance
0.3723724938744619,closeness_centrality,doctypebranch
0.30101679185977726,core_number,importance
0.3247329671097601,core_number,doctypebranch
0.3806133863429,relative_in_degree_centrality,importance
0.3723724938744619,relative_in_degree_centrality,doctypebranch
0.3806133863429,eigenvector_centrality,importance
0.3723724938744619,eigenvector_centrality,doctypebranch
0.3805234697492328,pagerank,importance
0.3722845241197818,pagerank,doctypebranch
-0.015806297159055696,hits_hub,importance
0.03977775702399019,hits_hub,doctypebranch
0.02706583453900369,hits_authority,importance
0.003766633699065209,hits_authority,doctypebranch
0.3806133863429,harmonic_centrality,importance
0.3723724938744619,harmonic_centrality,doctypebranch
0.3809974313392326,disruption,importance
0.3727482236784461,disruption,doctypebranch
0.3806133863429,composite,importance
0.3723724938744619,composite,doctypebranch
