Correlation,Centrality,Ground Truth
0.3242432287509626,degree_centrality,importance
0.3068411105155578,degree_centrality,doctypebranch
0.3826455908069443,in_degree_centrality,importance
0.36902565783115515,in_degree_centrality,doctypebranch
0.023372069564853132,out_degree_centrality,importance
0.01359459837514059,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.3826455908069443,closeness_centrality,importance
0.36902565783115515,closeness_centrality,doctypebranch
0.32481156582577836,core_number,importance
0.3107838595523258,core_number,doctypebranch
0.3826455908069443,relative_in_degree_centrality,importance
0.36902565783115515,relative_in_degree_centrality,doctypebranch
0.3826455908069443,eigenvector_centrality,importance
0.36902565783115515,eigenvector_centrality,doctypebranch
0.38286936099746754,pagerank,importance
0.3689473478769904,pagerank,doctypebranch
0.02224468944363409,hits_hub,importance
0.013500047629214886,hits_hub,doctypebranch
0.18813191329427081,hits_authority,importance
0.17266981081262567,hits_authority,doctypebranch
0.3826455908069443,harmonic_centrality,importance
0.36902565783115515,harmonic_centrality,doctypebranch
0.3833091542797612,disruption,importance
0.3693711492610804,disruption,doctypebranch
0.3826455908069443,composite,importance
0.36902565783115515,composite,doctypebranch
