Correlation,Centrality,Ground Truth
0.2679516351555835,degree_centrality,importance
0.3052228409159658,degree_centrality,doctypebranch
0.36396164460084357,in_degree_centrality,importance
0.3601518705914219,in_degree_centrality,doctypebranch
-0.023793596513741747,out_degree_centrality,importance
0.044741099698041596,out_degree_centrality,doctypebranch
0.0240824614490246,betweenness_centrality,importance
0.04189445633358627,betweenness_centrality,doctypebranch
0.3637351678416475,closeness_centrality,importance
0.36003244034184045,closeness_centrality,doctypebranch
0.2681845139653181,core_number,importance
0.3080434926514504,core_number,doctypebranch
0.36396164460084357,relative_in_degree_centrality,importance
0.3601518705914219,relative_in_degree_centrality,doctypebranch
0.36381238067832083,eigenvector_centrality,importance
0.3601702578519037,eigenvector_centrality,doctypebranch
0.36350131798168644,pagerank,importance
0.36012846488008177,pagerank,doctypebranch
-0.05200821263260422,hits_hub,importance
0.025444964859667733,hits_hub,doctypebranch
0.14665573264971604,hits_authority,importance
0.17157818155012605,hits_authority,doctypebranch
0.3637351678416475,harmonic_centrality,importance
0.36003244034184045,harmonic_centrality,doctypebranch
0.36201650945620606,disruption,importance
0.3551448238088245,disruption,doctypebranch
0.36396164460084357,composite,importance
0.3601518705914219,composite,doctypebranch
