Centrality,full-balanced-importance
betweenness_centrality,Doctypebranch: -0.0571 | Importance: -0.0748
closeness_centrality,Doctypebranch: -0.3600 | Importance: -0.4290
core_number,Doctypebranch: -0.3448 | Importance: -0.3543
degree_centrality,Doctypebranch: -0.3438 | Importance: -0.3538
disruption,Doctypebranch: -0.3069 | Importance: -0.3669
eigenvector_centrality,Doctypebranch: -0.3479 | Importance: -0.4251
harmonic_centrality,Doctypebranch: -0.3590 | Importance: -0.4286
hits_authority,Doctypebranch: -0.2673 | Importance: -0.3116
hits_hub,Doctypebranch: -0.0539 | Importance: 0.0088
in_degree_centrality,Doctypebranch: -0.3664 | Importance: -0.4321
out_degree_centrality,Doctypebranch: -0.0698 | Importance: -0.0212
pagerank,Doctypebranch: -0.3601 | Importance: -0.4305
relative_in_degree_centrality,Doctypebranch: -0.3664 | Importance: -0.4321
