Correlation,Centrality,Ground Truth
0.5045502100649639,degree_centrality,importance
0.5170591848310783,degree_centrality,doctypebranch
0.4258374598691546,in_degree_centrality,importance
0.44505960206504463,in_degree_centrality,doctypebranch
0.29167324744555784,out_degree_centrality,importance
0.2962865269230975,out_degree_centrality,doctypebranch
0.16991526760342227,betweenness_centrality,importance
0.17011005826697106,betweenness_centrality,doctypebranch
0.426077649431179,closeness_centrality,importance
0.44488790959286495,closeness_centrality,doctypebranch
0.5041929227417957,core_number,importance
0.5172414791534035,core_number,doctypebranch
0.4258374598691546,relative_in_degree_centrality,importance
0.44505960206504463,relative_in_degree_centrality,doctypebranch
0.42490390908142994,eigenvector_centrality,importance
0.4438328115816762,eigenvector_centrality,doctypebranch
0.42642696643780836,pagerank,importance
0.4447739859776973,pagerank,doctypebranch
0.291191763085831,hits_hub,importance
0.2962795181831952,hits_hub,doctypebranch
0.22536585950445567,hits_authority,importance
0.23996517469683112,hits_authority,doctypebranch
0.4262277806916605,harmonic_centrality,importance
0.4448510671369676,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.5047538001511985,composite,importance
0.5171812290392139,composite,doctypebranch
