Correlation,Centrality,Ground Truth
0.17149385744767365,degree_centrality,importance
0.14075601750180947,degree_centrality,doctypebranch
0.1480703453500997,in_degree_centrality,importance
0.17435775494785113,in_degree_centrality,doctypebranch
0.0873672057191656,out_degree_centrality,importance
-0.002561917911753483,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.1480703453500997,closeness_centrality,importance
0.17435775494785113,closeness_centrality,doctypebranch
0.1715279278720947,core_number,importance
0.14100127729422607,core_number,doctypebranch
0.1480703453500997,relative_in_degree_centrality,importance
0.17435775494785113,relative_in_degree_centrality,doctypebranch
0.1480703453500997,eigenvector_centrality,importance
0.17435775494785113,eigenvector_centrality,doctypebranch
0.1480703453500997,pagerank,importance
0.17435775494785113,pagerank,doctypebranch
0.0873672057191656,hits_hub,importance
-0.002561917911753483,hits_hub,doctypebranch
0.0012755788256740787,hits_authority,importance
0.019814816590981586,hits_authority,doctypebranch
0.1480703453500997,harmonic_centrality,importance
0.17435775494785113,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.1715279278720947,composite,importance
0.14100127729422607,composite,doctypebranch
