Correlation,Centrality,Ground Truth
0.21308278971882139,degree_centrality,importance
0.20040145724020084,degree_centrality,doctypebranch
0.15648411299062093,in_degree_centrality,importance
0.18914125170198487,in_degree_centrality,doctypebranch
0.14118538686025295,out_degree_centrality,importance
0.09081285263837023,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.15648411299062093,closeness_centrality,importance
0.18914125170198487,closeness_centrality,doctypebranch
0.21308278971882139,core_number,importance
0.20040145724020084,core_number,doctypebranch
0.15648411299062093,relative_in_degree_centrality,importance
0.18914125170198487,relative_in_degree_centrality,doctypebranch
0.15648411299062093,eigenvector_centrality,importance
0.18914125170198487,eigenvector_centrality,doctypebranch
0.15648411299062093,pagerank,importance
0.18914125170198487,pagerank,doctypebranch
0.040784325273720105,hits_hub,importance
0.09657426664900993,hits_hub,doctypebranch
-0.048571354923466786,hits_authority,importance
0.04498087944782694,hits_authority,doctypebranch
0.15648411299062093,harmonic_centrality,importance
0.18914125170198487,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.21308278971882139,composite,importance
0.20040145724020084,composite,doctypebranch
