Correlation,Centrality,Ground Truth
0.374630389198178,degree_centrality,importance
0.363373143949685,degree_centrality,doctypebranch
0.3707720124011016,in_degree_centrality,importance
0.32602914216534346,in_degree_centrality,doctypebranch
0.15660064723707184,out_degree_centrality,importance
0.17845191918527445,out_degree_centrality,doctypebranch
0.15428077762473189,betweenness_centrality,importance
0.1183226755826085,betweenness_centrality,doctypebranch
0.36742111455470905,closeness_centrality,importance
0.3226922477278519,closeness_centrality,doctypebranch
0.3712951843735745,core_number,importance
0.36205409452954257,core_number,doctypebranch
0.3707720124011016,relative_in_degree_centrality,importance
0.32602914216534346,relative_in_degree_centrality,doctypebranch
0.3632287454460894,eigenvector_centrality,importance
0.3185269796235258,eigenvector_centrality,doctypebranch
0.371960248342055,pagerank,importance
0.3252867963067327,pagerank,doctypebranch
0.147191915168599,hits_hub,importance
0.1750585148087652,hits_hub,doctypebranch
0.2563895302152744,hits_authority,importance
0.2248255945608144,hits_authority,doctypebranch
0.36723463231531567,harmonic_centrality,importance
0.32252818035950265,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.374630389198178,composite,importance
0.363373143949685,composite,doctypebranch
