Correlation,Centrality,Ground Truth
0.3069165597683293,degree_centrality,importance
0.26319704001469696,degree_centrality,doctypebranch
0.24782287769026276,in_degree_centrality,importance
0.2313424539200217,in_degree_centrality,doctypebranch
0.17945318248548567,out_degree_centrality,importance
0.1357461543878055,out_degree_centrality,doctypebranch
0.09523343400169516,betweenness_centrality,importance
0.07403603629807486,betweenness_centrality,doctypebranch
0.24773468847203212,closeness_centrality,importance
0.23096668587870714,closeness_centrality,doctypebranch
0.3038569020116687,core_number,importance
0.26235453059662484,core_number,doctypebranch
0.24782287769026276,relative_in_degree_centrality,importance
0.2313424539200217,relative_in_degree_centrality,doctypebranch
0.24093180307674836,eigenvector_centrality,importance
0.228175605763188,eigenvector_centrality,doctypebranch
0.2488631258372345,pagerank,importance
0.23008399388856365,pagerank,doctypebranch
0.1788398414189777,hits_hub,importance
0.1357369439704814,hits_hub,doctypebranch
0.14353009958269183,hits_authority,importance
0.16901041995623028,hits_authority,doctypebranch
0.24627530087698346,harmonic_centrality,importance
0.23087812853576845,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.3069165597683293,composite,importance
0.26319704001469696,composite,doctypebranch
