Correlation,Centrality,Ground Truth
0.3723939919381368,degree_centrality,importance
0.372701199461329,degree_centrality,doctypebranch
0.30308567682197046,in_degree_centrality,importance
0.260743454301149,in_degree_centrality,doctypebranch
0.2517090994841717,out_degree_centrality,importance
0.28623998180417204,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.30308567682197046,closeness_centrality,importance
0.260743454301149,closeness_centrality,doctypebranch
0.3724001655274135,core_number,importance
0.37270737814352645,core_number,doctypebranch
0.30308567682197046,relative_in_degree_centrality,importance
0.260743454301149,relative_in_degree_centrality,doctypebranch
0.30308567682197046,eigenvector_centrality,importance
0.260743454301149,eigenvector_centrality,doctypebranch
0.30327108673946995,pagerank,importance
0.26074063348604753,pagerank,doctypebranch
0.25197648566661446,hits_hub,importance
0.2862322072878635,hits_hub,doctypebranch
0.09656109617210097,hits_authority,importance
0.03645512771295057,hits_authority,doctypebranch
0.30308567682197046,harmonic_centrality,importance
0.260743454301149,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.3724001655274135,composite,importance
0.37270737814352645,composite,doctypebranch
