Correlation,Centrality,Ground Truth
0.2593153890731543,degree_centrality,importance
0.23303578530386215,degree_centrality,doctypebranch
0.2642559236611658,in_degree_centrality,importance
0.24728867779332284,in_degree_centrality,doctypebranch
0.09609306314951484,out_degree_centrality,importance
0.07654173360269517,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.2642559236611658,closeness_centrality,importance
0.24728867779332284,closeness_centrality,doctypebranch
0.2593153890731543,core_number,importance
0.23303578530386215,core_number,doctypebranch
0.2642559236611658,relative_in_degree_centrality,importance
0.24728867779332284,relative_in_degree_centrality,doctypebranch
0.2642559236611658,eigenvector_centrality,importance
0.24728867779332284,eigenvector_centrality,doctypebranch
0.2642559236611658,pagerank,importance
0.24728867779332284,pagerank,doctypebranch
0.0,hits_hub,importance
0.0,hits_hub,doctypebranch
-0.0036300072511665366,hits_authority,importance
-0.06609746713649087,hits_authority,doctypebranch
0.2642559236611658,harmonic_centrality,importance
0.24728867779332284,harmonic_centrality,doctypebranch
0.2642559236611658,disruption,importance
0.24728867779332284,disruption,doctypebranch
0.2642559236611658,composite,importance
0.24728867779332284,composite,doctypebranch
