Correlation,Centrality,Ground Truth
0.1492552755578038,degree_centrality,importance
0.018050692245023783,degree_centrality,doctypebranch
0.12256831130691706,in_degree_centrality,importance
0.003982622931844622,in_degree_centrality,doctypebranch
0.08392658176502026,out_degree_centrality,importance
0.02282777519236201,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.12256831130691706,closeness_centrality,importance
0.003982622931844622,closeness_centrality,doctypebranch
0.14949639387780425,core_number,importance
0.018907763226784977,core_number,doctypebranch
0.12256831130691706,relative_in_degree_centrality,importance
0.003982622931844622,relative_in_degree_centrality,doctypebranch
0.12256831130691706,eigenvector_centrality,importance
0.003982622931844622,eigenvector_centrality,doctypebranch
0.12101228006214403,pagerank,importance
0.0051126789028168845,pagerank,doctypebranch
-0.02372439049075986,hits_hub,importance
-0.13568105105777695,hits_hub,doctypebranch
0.07291224907183995,hits_authority,importance
0.07270929092037681,hits_authority,doctypebranch
0.12256831130691706,harmonic_centrality,importance
0.003982622931844622,harmonic_centrality,doctypebranch
0.12256831130691706,disruption,importance
0.003982622931844622,disruption,doctypebranch
0.1492552755578038,composite,importance
0.018050692245023783,composite,doctypebranch
