Correlation,Centrality,Ground Truth
0.1592693523805606,degree_centrality,importance
0.18359121085321084,degree_centrality,doctypebranch
0.23074416776153742,in_degree_centrality,importance
0.27310675003368395,in_degree_centrality,doctypebranch
-0.05289255424356421,out_degree_centrality,importance
-0.0663037569688205,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.23074416776153742,closeness_centrality,importance
0.27310675003368395,closeness_centrality,doctypebranch
0.1623259961983089,core_number,importance
0.1846511790307245,core_number,doctypebranch
0.23074416776153742,relative_in_degree_centrality,importance
0.27310675003368395,relative_in_degree_centrality,doctypebranch
0.2307784046468785,eigenvector_centrality,importance
0.272885832789859,eigenvector_centrality,doctypebranch
0.2290730967543093,pagerank,importance
0.26643545397935736,pagerank,doctypebranch
-0.014875950744955575,hits_hub,importance
0.0018190245846318336,hits_hub,doctypebranch
0.08161983394802111,hits_authority,importance
0.044875114277297526,hits_authority,doctypebranch
0.23074416776153742,harmonic_centrality,importance
0.27310675003368395,harmonic_centrality,doctypebranch
0.24274950449784258,disruption,importance
0.27889742703375703,disruption,doctypebranch
0.24325446236085774,composite,importance
0.2801465901455985,composite,doctypebranch
