Correlation,Centrality,Ground Truth
0.2570852733903172,degree_centrality,importance
0.24011352437398975,degree_centrality,doctypebranch
0.3786870920791117,in_degree_centrality,importance
0.34419942883301385,in_degree_centrality,doctypebranch
-0.07887895793397677,out_degree_centrality,importance
-0.062011546507750336,out_degree_centrality,doctypebranch
-0.017894994056679,betweenness_centrality,importance
-0.025564992069331532,betweenness_centrality,doctypebranch
0.3782596833457025,closeness_centrality,importance
0.3430639936323748,closeness_centrality,doctypebranch
0.26044639081308535,core_number,importance
0.240138573335248,core_number,doctypebranch
0.3786870920791117,relative_in_degree_centrality,importance
0.34419942883301385,relative_in_degree_centrality,doctypebranch
0.3758848825954898,eigenvector_centrality,importance
0.33607627073016405,eigenvector_centrality,doctypebranch
0.3756579789251261,pagerank,importance
0.33699699558385293,pagerank,doctypebranch
-0.06842977965229438,hits_hub,importance
-0.0560132270263672,hits_hub,doctypebranch
0.2414758645360031,hits_authority,importance
0.23493383545318527,hits_authority,doctypebranch
0.37825585451739346,harmonic_centrality,importance
0.3425688374331106,harmonic_centrality,doctypebranch
0.39840485864939507,disruption,importance
0.3415060098264319,disruption,doctypebranch
0.3786870920791117,composite,importance
0.34419942883301385,composite,doctypebranch
