combination,times_selected
in_degree_centrality+relative_in_degree_centrality,7
disruption+pagerank,8
pagerank+in_degree_centrality,7
disruption+harmonic_centrality,4
degree_centrality+in_degree_centrality,3
in_degree_centrality+closeness_centrality,4
disruption+hits_authority,1
disruption+closeness_centrality,2
disruption+in_degree_centrality,9
out_degree_centrality+disruption,1
disruption+eigenvector_centrality,3
hits_authority+disruption,1
hits_hub+out_degree_centrality,1
degree_centrality+core_number,2
harmonic_centrality+closeness_centrality,1
pagerank+disruption,1
disruption+hits_hub,1
core_number+degree_centrality,1
pagerank+harmonic_centrality,1
