combination,times_selected
pagerank+in_degree_centrality,9
degree_centrality+core_number,20
harmonic_centrality+pagerank,1
in_degree_centrality+relative_in_degree_centrality,24
degree_centrality+in_degree_centrality,1
closeness_centrality+harmonic_centrality,4
in_degree_centrality+closeness_centrality,2
hits_authority+core_number,1
pagerank+degree_centrality,1
out_degree_centrality+hits_hub,2
hits_hub+pagerank,2
core_number+degree_centrality,4
degree_centrality+pagerank,2
eigenvector_centrality+harmonic_centrality,3
pagerank+closeness_centrality,1
hits_hub+out_degree_centrality,1
hits_hub+in_degree_centrality,1
