Correlation,Centrality,Ground Truth
0.4287642206711091,degree_centrality,importance
0.3689128833607822,degree_centrality,doctypebranch
0.4359577963380305,in_degree_centrality,importance
0.3119070528494101,in_degree_centrality,doctypebranch
0.19547718663239594,out_degree_centrality,importance
0.21340690475537208,out_degree_centrality,doctypebranch
0.2267452903209472,betweenness_centrality,importance
0.13331098869093533,betweenness_centrality,doctypebranch
0.43012517729792976,closeness_centrality,importance
0.30928939334504035,closeness_centrality,doctypebranch
0.42622405521302836,core_number,importance
0.36849784895480564,core_number,doctypebranch
0.4359577963380305,relative_in_degree_centrality,importance
0.3119070528494101,relative_in_degree_centrality,doctypebranch
0.4270271949369499,eigenvector_centrality,importance
0.30735718113652194,eigenvector_centrality,doctypebranch
0.43511848130955516,pagerank,importance
0.3130524812498886,pagerank,doctypebranch
0.15162197747211678,hits_hub,importance
0.2072408187913952,hits_hub,doctypebranch
0.2958987263912763,hits_authority,importance
0.21261704059145645,hits_authority,doctypebranch
0.43019564619090517,harmonic_centrality,importance
0.309336800653089,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.4359577963380305,composite,importance
0.3119070528494101,composite,doctypebranch
