Correlation,Centrality,Ground Truth
0.22089382619564074,degree_centrality,importance
0.2206788114682846,degree_centrality,doctypebranch
0.24579685433043955,in_degree_centrality,importance
0.2191131161973057,in_degree_centrality,doctypebranch
0.0013999230494961858,out_degree_centrality,importance
0.04746098513829389,out_degree_centrality,doctypebranch
-0.01393414826350148,betweenness_centrality,importance
0.028402569681697364,betweenness_centrality,doctypebranch
0.24885469232852006,closeness_centrality,importance
0.2182202308186677,closeness_centrality,doctypebranch
0.21201108683634368,core_number,importance
0.21580840084360137,core_number,doctypebranch
0.24579685433043955,relative_in_degree_centrality,importance
0.2191131161973057,relative_in_degree_centrality,doctypebranch
0.24450812390831184,eigenvector_centrality,importance
0.21186160297976098,eigenvector_centrality,doctypebranch
0.24075305405931738,pagerank,importance
0.2166793210410507,pagerank,doctypebranch
-0.0132950321142711,hits_hub,importance
0.04232466601055835,hits_hub,doctypebranch
0.18434198182201142,hits_authority,importance
0.19427503473046553,hits_authority,doctypebranch
0.24813232183198677,harmonic_centrality,importance
0.21822113820256106,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.24301796474792356,composite,importance
0.2314489971192579,composite,doctypebranch
