Correlation,Centrality,Ground Truth
0.18953726282623978,degree_centrality,importance
0.25016862194336326,degree_centrality,doctypebranch
0.11612296527597592,in_degree_centrality,importance
0.2708997893827537,in_degree_centrality,doctypebranch
0.14548618588224513,out_degree_centrality,importance
0.05689369521505563,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.11612296527597592,closeness_centrality,importance
0.2708997893827537,closeness_centrality,doctypebranch
0.186411285065466,core_number,importance
0.24695251962767908,core_number,doctypebranch
0.11612296527597592,relative_in_degree_centrality,importance
0.2708997893827537,relative_in_degree_centrality,doctypebranch
0.11612296527597592,eigenvector_centrality,importance
0.2708997893827537,eigenvector_centrality,doctypebranch
0.11558628854878293,pagerank,importance
0.2682763376977522,pagerank,doctypebranch
-0.016328221221401783,hits_hub,importance
0.08133098089752203,hits_hub,doctypebranch
-0.019115568318833705,hits_authority,importance
0.0899562139268584,hits_authority,doctypebranch
0.11612296527597592,harmonic_centrality,importance
0.2708997893827537,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.11612296527597592,composite,importance
0.2708997893827537,composite,doctypebranch
