Correlation,Centrality,Ground Truth
0.28039614728191226,degree_centrality,importance
0.25835021616219717,degree_centrality,doctypebranch
0.46036965526675233,in_degree_centrality,importance
0.44154202615133464,in_degree_centrality,doctypebranch
-0.12668131746915398,out_degree_centrality,importance
-0.17490122690256601,out_degree_centrality,doctypebranch
-0.05066092933652614,betweenness_centrality,importance
-0.07683666796584704,betweenness_centrality,doctypebranch
0.45671745654471707,closeness_centrality,importance
0.4352456022544978,closeness_centrality,doctypebranch
0.2860719699062833,core_number,importance
0.25493833927859816,core_number,doctypebranch
0.46036965526675233,relative_in_degree_centrality,importance
0.44154202615133464,relative_in_degree_centrality,doctypebranch
0.45115699597810693,eigenvector_centrality,importance
0.41960258787253163,eigenvector_centrality,doctypebranch
0.4490333868910336,pagerank,importance
0.42022570414565336,pagerank,doctypebranch
-0.12070215524382066,hits_hub,importance
-0.16280493595223114,hits_hub,doctypebranch
0.3777968310982211,hits_authority,importance
0.32405569579978527,hits_authority,doctypebranch
0.4558077659515809,harmonic_centrality,importance
0.43416174993071,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.46036965526675233,composite,importance
0.44154202615133464,composite,doctypebranch
