Correlation,Centrality,Ground Truth
0.028516391820043775,degree_centrality,importance
0.0,degree_centrality,doctypebranch
-0.011338571795192641,in_degree_centrality,importance
0.0,in_degree_centrality,doctypebranch
0.02145732617352398,out_degree_centrality,importance
0.0,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
-0.011338571795192641,closeness_centrality,importance
0.0,closeness_centrality,doctypebranch
0.028576207872068056,core_number,importance
0.0,core_number,doctypebranch
-0.011338571795192641,relative_in_degree_centrality,importance
0.0,relative_in_degree_centrality,doctypebranch
-0.011338571795192641,eigenvector_centrality,importance
0.0,eigenvector_centrality,doctypebranch
-0.011338571795192641,pagerank,importance
0.0,pagerank,doctypebranch
0.02145732617352398,hits_hub,importance
0.0,hits_hub,doctypebranch
-0.0709511496149953,hits_authority,importance
0.0,hits_authority,doctypebranch
-0.011338571795192641,harmonic_centrality,importance
0.0,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
-0.07385759917416458,composite,importance
0.0,composite,doctypebranch
