Correlation,Centrality,Ground Truth
0.21123266344097197,degree_centrality,importance
0.25052979529389835,degree_centrality,doctypebranch
0.28756701765147413,in_degree_centrality,importance
0.29734041806564937,in_degree_centrality,doctypebranch
-0.010849612810874217,out_degree_centrality,importance
0.03733128611700386,out_degree_centrality,doctypebranch
-0.004334644533626819,betweenness_centrality,importance
0.01491462028378974,betweenness_centrality,doctypebranch
0.2865150954893704,closeness_centrality,importance
0.2954816127182297,closeness_centrality,doctypebranch
0.20084828803266364,core_number,importance
0.24531145611334945,core_number,doctypebranch
0.28756701765147413,relative_in_degree_centrality,importance
0.29734041806564937,relative_in_degree_centrality,doctypebranch
0.2865150954893704,eigenvector_centrality,importance
0.2954816127182297,eigenvector_centrality,doctypebranch
0.28749711709112796,pagerank,importance
0.2936472045500534,pagerank,doctypebranch
-0.01084604854901362,hits_hub,importance
0.03731902222504447,hits_hub,doctypebranch
0.12745622509588989,hits_authority,importance
0.15828209958301903,hits_authority,doctypebranch
0.2865150954893704,harmonic_centrality,importance
0.2954816127182297,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.28756701765147413,composite,importance
0.29734041806564937,composite,doctypebranch
