Correlation,Centrality,Ground Truth
0.3890887318427104,degree_centrality,importance
0.2714001307560278,degree_centrality,doctypebranch
0.38152182829555875,in_degree_centrality,importance
0.22432444588643827,in_degree_centrality,doctypebranch
0.1966388808909995,out_degree_centrality,importance
0.16456073671748148,out_degree_centrality,doctypebranch
0.17081594714506176,betweenness_centrality,importance
0.08546539331086249,betweenness_centrality,doctypebranch
0.3808254883909235,closeness_centrality,importance
0.2238751645337812,closeness_centrality,doctypebranch
0.38450891554710187,core_number,importance
0.2707476162834183,core_number,doctypebranch
0.38152182829555875,relative_in_degree_centrality,importance
0.22432444588643827,relative_in_degree_centrality,doctypebranch
0.3798929565176709,eigenvector_centrality,importance
0.22283035689602676,eigenvector_centrality,doctypebranch
0.3814968710464977,pagerank,importance
0.22401231867406382,pagerank,doctypebranch
0.1837035186234318,hits_hub,importance
0.15520485779084947,hits_hub,doctypebranch
0.21388321512332087,hits_authority,importance
0.13041748491856675,hits_authority,doctypebranch
0.3807850683796071,harmonic_centrality,importance
0.2238504999609729,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.3890887318427104,composite,importance
0.2714001307560278,composite,doctypebranch
