Correlation,Centrality,Ground Truth
0.36221665005534665,degree_centrality,importance
0.4193289181519384,degree_centrality,doctypebranch
0.3981270150851454,in_degree_centrality,importance
0.3841123390066695,in_degree_centrality,doctypebranch
0.08753921794111291,out_degree_centrality,importance
0.19292959346383895,out_degree_centrality,doctypebranch
0.106902798687816,betweenness_centrality,importance
0.13601932006211137,betweenness_centrality,doctypebranch
0.3923339456714829,closeness_centrality,importance
0.3815298361428849,closeness_centrality,doctypebranch
0.3396839009576329,core_number,importance
0.4156049152944371,core_number,doctypebranch
0.3981270150851454,relative_in_degree_centrality,importance
0.3841123390066695,relative_in_degree_centrality,doctypebranch
0.38503210788012054,eigenvector_centrality,importance
0.37467610052044664,eigenvector_centrality,doctypebranch
0.3976962351326464,pagerank,importance
0.3820490348669244,pagerank,doctypebranch
0.06588931710179866,hits_hub,importance
0.1915212387798639,hits_hub,doctypebranch
0.31490764325105886,hits_authority,importance
0.32655201222213814,hits_authority,doctypebranch
0.391827454940066,harmonic_centrality,importance
0.38111080712013184,harmonic_centrality,doctypebranch
0.28148814939915123,disruption,importance
0.2366021594920877,disruption,doctypebranch
0.36062317709443303,composite,importance
0.41911707634778184,composite,doctypebranch
