Correlation,Centrality,Ground Truth
0.36295030857625643,degree_centrality,importance
0.19291143683452996,degree_centrality,doctypebranch
0.2707834180689177,in_degree_centrality,importance
0.2197198706044453,in_degree_centrality,doctypebranch
0.24963580499262883,out_degree_centrality,importance
0.02669879244393324,out_degree_centrality,doctypebranch
0.08293021903974662,betweenness_centrality,importance
0.001234006995763911,betweenness_centrality,doctypebranch
0.27065063350046414,closeness_centrality,importance
0.21953268758310285,closeness_centrality,doctypebranch
0.3611451254861173,core_number,importance
0.19162714037300396,core_number,doctypebranch
0.2707834180689177,relative_in_degree_centrality,importance
0.2197198706044453,relative_in_degree_centrality,doctypebranch
0.27052803367797823,eigenvector_centrality,importance
0.21930619888003824,eigenvector_centrality,doctypebranch
0.27129264217311916,pagerank,importance
0.22025729538344305,pagerank,doctypebranch
-0.08485257820671144,hits_hub,importance
0.020505010871352727,hits_hub,doctypebranch
0.006902406479978225,hits_authority,importance
0.017203515120438537,hits_authority,doctypebranch
0.27065063350046414,harmonic_centrality,importance
0.21953268758310285,harmonic_centrality,doctypebranch
0.269996375152343,disruption,importance
0.2183563619463236,disruption,doctypebranch
0.27149125436681404,composite,importance
0.22059700692321313,composite,doctypebranch
