Correlation,Centrality,Ground Truth
0.028516391820043775,degree_centrality,importance
0.0,degree_centrality,doctypebranch
-0.011338571795192641,in_degree_centrality,importance
0.0,in_degree_centrality,doctypebranch
0.02145732617352398,out_degree_centrality,importance
0.0,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
-0.011338571795192641,closeness_centrality,importance
0.0,closeness_centrality,doctypebranch
0.028576207872068056,core_number,importance
0.0,core_number,doctypebranch
-0.011338571795192641,relative_in_degree_centrality,importance
0.0,relative_in_degree_centrality,doctypebranch
-0.011338571795192641,eigenvector_centrality,importance
0.0,eigenvector_centrality,doctypebranch
-0.011338571795192641,pagerank,importance
0.0,pagerank,doctypebranch
0.02145732617352398,hits_hub,importance
0.0,hits_hub,doctypebranch
-0.046175522958386984,hits_authority,importance
-0.034463913119198275,hits_authority,doctypebranch
-0.011338571795192641,harmonic_centrality,importance
0.0,harmonic_centrality,doctypebranch
0.05226869561279081,disruption,importance
0.0,disruption,doctypebranch
-0.008789396285029245,composite,importance
-0.03445000367753809,composite,doctypebranch
