Correlation,Centrality,Ground Truth
0.374630389198178,degree_centrality,importance
0.363373143949685,degree_centrality,doctypebranch
0.3707720124011016,in_degree_centrality,importance
0.32602914216534346,in_degree_centrality,doctypebranch
0.15660064723707184,out_degree_centrality,importance
0.17845191918527445,out_degree_centrality,doctypebranch
0.15428077762473189,betweenness_centrality,importance
0.1183226755826085,betweenness_centrality,doctypebranch
0.36742111455470905,closeness_centrality,importance
0.3226922477278519,closeness_centrality,doctypebranch
0.3712951843735745,core_number,importance
0.36205409452954257,core_number,doctypebranch
0.3707720124011016,relative_in_degree_centrality,importance
0.32602914216534346,relative_in_degree_centrality,doctypebranch
0.3632287454460894,eigenvector_centrality,importance
0.3185269796235258,eigenvector_centrality,doctypebranch
0.371960248342055,pagerank,importance
0.3252867963067327,pagerank,doctypebranch
0.14834454146800807,hits_hub,importance
0.17259799644942153,hits_hub,doctypebranch
0.27786808449041844,hits_authority,importance
0.24197505360922839,hits_authority,doctypebranch
0.36722767763185316,harmonic_centrality,importance
0.3225211394730995,harmonic_centrality,doctypebranch
0.25771278581205764,disruption,importance
0.23283263401598578,disruption,doctypebranch
0.3879580366214213,composite,importance
0.36993381756747956,composite,doctypebranch
