Correlation,Centrality,Ground Truth
0.4372423850425057,degree_centrality,importance
0.3223267543539451,degree_centrality,doctypebranch
0.42276971513658623,in_degree_centrality,importance
0.30447463811136055,in_degree_centrality,doctypebranch
0.17720307082685913,out_degree_centrality,importance
0.12857828107460165,out_degree_centrality,doctypebranch
0.15062692493447544,betweenness_centrality,importance
0.08751640218433004,betweenness_centrality,doctypebranch
0.41847960259660705,closeness_centrality,importance
0.30088479475578284,closeness_centrality,doctypebranch
0.43425391611056846,core_number,importance
0.3226456961937506,core_number,doctypebranch
0.42276971513658623,relative_in_degree_centrality,importance
0.30447463811136055,relative_in_degree_centrality,doctypebranch
0.41253315620131586,eigenvector_centrality,importance
0.2963115737500722,eigenvector_centrality,doctypebranch
0.4249620900756494,pagerank,importance
0.3033260739805745,pagerank,doctypebranch
0.16897026650684296,hits_hub,importance
0.12573251622011852,hits_hub,doctypebranch
0.27895777244772557,hits_authority,importance
0.2055602223763703,hits_authority,doctypebranch
0.418241160068497,harmonic_centrality,importance
0.3006548493509478,harmonic_centrality,doctypebranch
0.28948804214837115,disruption,importance
0.22523612686352626,disruption,doctypebranch
0.43687577332261585,composite,importance
0.32232403402002074,composite,doctypebranch
