Correlation,Centrality,Ground Truth
0.3789402959620808,degree_centrality,importance
0.27449912427417705,degree_centrality,doctypebranch
0.38710806898675937,in_degree_centrality,importance
0.3119581626410725,in_degree_centrality,doctypebranch
0.11625754274833067,out_degree_centrality,importance
0.01998623265898425,out_degree_centrality,doctypebranch
0.0938147485668124,betweenness_centrality,importance
0.005903494576596604,betweenness_centrality,doctypebranch
0.38666840148743736,closeness_centrality,importance
0.3108306737756653,closeness_centrality,doctypebranch
0.37976645705797424,core_number,importance
0.27304327383135885,core_number,doctypebranch
0.38710806898675937,relative_in_degree_centrality,importance
0.3119581626410725,relative_in_degree_centrality,doctypebranch
0.3849346008166471,eigenvector_centrality,importance
0.30733804413038535,eigenvector_centrality,doctypebranch
0.3842061538081929,pagerank,importance
0.31122036395459185,pagerank,doctypebranch
0.11601848030722374,hits_hub,importance
0.01758346206316992,hits_hub,doctypebranch
0.20173874460942193,hits_authority,importance
0.1754130344264044,hits_authority,doctypebranch
0.3866253738662613,harmonic_centrality,importance
0.31083078604688474,harmonic_centrality,doctypebranch
0.3183830516614054,disruption,importance
0.2821367291371161,disruption,doctypebranch
0.38710806898675937,composite,importance
0.3119581626410725,composite,doctypebranch
