Correlation,Centrality,Ground Truth
0.41269550527097193,degree_centrality,importance
0.45909235873935317,degree_centrality,doctypebranch
0.3531456763396776,in_degree_centrality,importance
0.4262641975284717,in_degree_centrality,doctypebranch
0.22522756289182236,out_degree_centrality,importance
0.18525523975356642,out_degree_centrality,doctypebranch
0.11008827475878072,betweenness_centrality,importance
0.09055032817759494,betweenness_centrality,doctypebranch
0.3517009494763671,closeness_centrality,importance
0.4255921649429583,closeness_centrality,doctypebranch
0.4123796429133632,core_number,importance
0.45976038822342336,core_number,doctypebranch
0.3531456763396776,relative_in_degree_centrality,importance
0.4262641975284717,relative_in_degree_centrality,doctypebranch
0.3517020069230461,eigenvector_centrality,importance
0.42559344455571485,eigenvector_centrality,doctypebranch
0.3488943259730547,pagerank,importance
0.42473179499026387,pagerank,doctypebranch
0.22522423208395032,hits_hub,importance
0.18525250008172972,hits_hub,doctypebranch
0.23164863528422977,hits_authority,importance
0.318925121098881,hits_authority,doctypebranch
0.3517009494763671,harmonic_centrality,importance
0.4255921649429583,harmonic_centrality,doctypebranch
0.23528353573943644,disruption,importance
0.3269075659581863,disruption,doctypebranch
0.41281049645012813,composite,importance
0.4592435793472724,composite,doctypebranch
