combination,times_selected
pagerank+in_degree_centrality,8
degree_centrality+core_number,19
harmonic_centrality+pagerank,1
degree_centrality+in_degree_centrality,1
closeness_centrality+harmonic_centrality,3
in_degree_centrality+relative_in_degree_centrality,18
in_degree_centrality+closeness_centrality,2
disruption+hits_authority,1
pagerank+degree_centrality,1
disruption+hits_hub,2
disruption+pagerank,2
disruption+in_degree_centrality,4
core_number+degree_centrality,4
out_degree_centrality+hits_hub,1
degree_centrality+pagerank,2
eigenvector_centrality+harmonic_centrality,3
pagerank+closeness_centrality,1
disruption+closeness_centrality,1
hits_authority+degree_centrality,1
pagerank+disruption,1
hits_hub+out_degree_centrality,1
